,STLD,OC,RS,FHN,EWBC,LEA,JLL,Y,ACM,UGI,AFG,SBNY,OSK,ARW,KSS,RGA,CPRI,OHI,NNN,JBL,MPW,KRC,ORI,SNV,TCF,XPO,THC,VAC,FAF,PB,AMG,NVST,OLN,AIRC,POST,EME,PNFP,OGE,THO,X,CFR,SON,MDU,BRX,MOH,AYI,MAN,FL,JHG,MTZ,JEF,SKX,CPT,DKS,INGR,JBLU,NCR,BJ,ADS,VNT,VLY,KBR,DEI,AN,NYCB,FLS,CUZ,SLG,NVT,SRC,WTRG,UBSI,AEO,CIT,SNX,STOR,CIEN,OZK,STL,WBS,CFX,THG,CASY,MTG,HXL,AGCO,IDA,LII,PK,CDAY,UTHR,HIW,AVNT,NFG,CR,ADNT,HE,BLDR,GT,RPM,KMPR,UNVR,WTFC,HRB,CAR,LAMR,SIGI,CRI,ITT,NDSN,R,SRCL,AVT,HPP,FNB,CSL,HWC,HRC,CBSH,COHR,SF,UMBF,KBH,HOMB,HUBB,BKH,NJR,TOL,LIVN,PII,ACC,OGS,WRI,KEX,DAN,XRX,DCI,DOC,TMHC,PACW,CMC,SWX,EHC,ATR,CBRL,SR,SEIC,SBRA,EPR,CACI,JWN,WSO,WEX,GNTX,XEC,VSAT,EQT,BOH,LSI,CBT,SCI,ALE,WWD,BC,CNO,MIDD,JBGS,ACHC,ASB,NUVA,TCBI,GATX,MUSA,TNL,RGLD,RNR,NAVI,ASH,CNXC,TDC,FCFS,CC,SAFM,CW,LPX,WH,NWE,FR,VSH,SAIC,CDK,RYN,HOG,SFM,KMT,MUR,G,CATY,VMI,OFC,TRGP,HFC,REXR,PEB,NATI,MAC,DTM,MLHR,AZPN,RBC,GME,GXO,SYNA,CLH,RRX,PFGC,PRGO,NOV,UNM,SGMS,BXS,GBCI,SUM
10/12/2021,1.07,0.79,0.76,0.72,0.82,0.69,0.98,0.74,0.76,0.76,0.75,0.77,0.62,0.71,0.71,0.62,0.68,0.62,0.66,0.65,0.58,0.55,0.58,0.51,0.0,0.34,0.64,0.5,0.61,0.51,0.56,0.54,0.56,0.63,0.52,0.52,0.58,0.56,0.5,0.57,0.51,0.52,0.51,0.55,0.57,0.52,0.52,0.46,0.58,0.41,0.58,0.53,0.61,0.73,0.47,0.38,0.44,0.61,0.39,0.49,0.42,0.43,0.43,0.46,0.46,0.4,0.45,0.38,0.46,0.47,0.44,0.39,0.36,0.43,0.42,0.44,0.44,0.41,0.35,0.36,0.45,0.4,0.37,0.41,0.38,0.39,0.42,0.37,0.36,0.48,0.44,0.38,0.38,0.37,0.4,0.29,0.38,0.44,0.35,0.32,0.33,0.32,0.34,0.37,0.37,0.39,0.4,0.36,0.36,0.38,0.34,0.31,0.32,0.31,0.3,0.37,0.32,0.44,0.31,0.32,0.33,0.31,0.3,0.26,0.35,0.35,0.28,0.32,0.34,0.29,0.34,0.3,0.0,0.25,0.27,0.29,0.34,0.32,0.29,0.28,0.31,0.32,0.27,0.27,0.27,0.27,0.29,0.27,0.3,0.27,0.25,0.28,0.27,0.25,0.27,0.28,0.25,0.27,0.36,0.0,0.33,0.28,0.27,0.27,0.25,0.31,0.26,0.29,0.25,0.25,0.27,0.26,0.31,0.0,0.24,0.26,0.33,0.25,0.3,0.3,0.28,0.24,0.31,0.25,0.0,0.25,0.25,0.28,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.24,0.28,0.0,0.25,0.25,0.61,0.38,0.27,0.0,0.24,0.0,0.36,0.24,0.0,0.24,0.51,0.32,0.27,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23
10/13/2021,1.07,0.79,0.76,0.72,0.82,0.69,0.98,0.74,0.76,0.76,0.75,0.77,0.62,0.71,0.71,0.62,0.68,0.62,0.66,0.65,0.58,0.55,0.58,0.51,0.0,0.34,0.64,0.5,0.61,0.51,0.56,0.54,0.56,0.63,0.52,0.52,0.58,0.56,0.5,0.57,0.51,0.52,0.51,0.55,0.57,0.52,0.52,0.46,0.58,0.41,0.58,0.53,0.61,0.73,0.47,0.38,0.44,0.61,0.39,0.49,0.42,0.43,0.43,0.46,0.46,0.4,0.45,0.38,0.46,0.47,0.44,0.39,0.36,0.43,0.42,0.44,0.44,0.41,0.35,0.36,0.45,0.4,0.37,0.41,0.38,0.39,0.42,0.37,0.36,0.48,0.44,0.38,0.38,0.37,0.4,0.29,0.38,0.44,0.35,0.32,0.33,0.32,0.34,0.37,0.37,0.39,0.4,0.36,0.36,0.38,0.34,0.31,0.32,0.31,0.3,0.37,0.32,0.44,0.31,0.32,0.33,0.31,0.3,0.26,0.35,0.35,0.28,0.32,0.34,0.29,0.34,0.3,0.0,0.25,0.27,0.29,0.34,0.32,0.29,0.28,0.31,0.32,0.27,0.27,0.27,0.27,0.29,0.27,0.3,0.27,0.25,0.28,0.27,0.25,0.27,0.28,0.25,0.27,0.36,0.0,0.33,0.28,0.27,0.27,0.25,0.31,0.26,0.29,0.25,0.25,0.27,0.26,0.31,0.0,0.24,0.26,0.33,0.25,0.3,0.3,0.28,0.24,0.31,0.25,0.0,0.25,0.25,0.28,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.24,0.28,0.0,0.25,0.25,0.61,0.38,0.27,0.0,0.24,0.0,0.36,0.24,0.0,0.24,0.51,0.32,0.27,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23
10/14/2021,1.07,0.79,0.76,0.72,0.82,0.69,0.98,0.74,0.76,0.76,0.75,0.77,0.62,0.71,0.71,0.62,0.68,0.62,0.66,0.65,0.58,0.55,0.58,0.51,0.0,0.34,0.64,0.5,0.61,0.51,0.56,0.54,0.56,0.63,0.52,0.52,0.58,0.56,0.5,0.57,0.51,0.52,0.51,0.55,0.57,0.52,0.52,0.46,0.58,0.41,0.58,0.53,0.61,0.73,0.47,0.38,0.44,0.61,0.39,0.49,0.42,0.43,0.43,0.46,0.46,0.4,0.45,0.38,0.46,0.47,0.44,0.39,0.36,0.43,0.42,0.44,0.44,0.41,0.35,0.36,0.45,0.4,0.37,0.41,0.38,0.39,0.42,0.37,0.36,0.48,0.44,0.38,0.38,0.37,0.4,0.29,0.38,0.44,0.35,0.32,0.33,0.32,0.34,0.37,0.37,0.39,0.4,0.36,0.36,0.38,0.34,0.31,0.32,0.31,0.3,0.37,0.32,0.44,0.31,0.32,0.33,0.31,0.3,0.26,0.35,0.35,0.28,0.32,0.34,0.29,0.34,0.3,0.0,0.25,0.27,0.29,0.34,0.32,0.29,0.28,0.31,0.32,0.27,0.27,0.27,0.27,0.29,0.27,0.3,0.27,0.25,0.28,0.27,0.25,0.27,0.28,0.25,0.27,0.36,0.0,0.33,0.28,0.27,0.27,0.25,0.31,0.26,0.29,0.25,0.25,0.27,0.26,0.31,0.0,0.24,0.26,0.33,0.25,0.3,0.3,0.28,0.24,0.31,0.25,0.0,0.25,0.25,0.28,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.24,0.28,0.0,0.25,0.25,0.61,0.38,0.27,0.0,0.24,0.0,0.36,0.24,0.0,0.24,0.51,0.32,0.27,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23
10/15/2021,1.07,0.79,0.76,0.72,0.82,0.69,0.98,0.74,0.76,0.76,0.75,0.77,0.62,0.71,0.71,0.62,0.68,0.62,0.66,0.65,0.58,0.55,0.58,0.51,0.0,0.34,0.64,0.5,0.61,0.51,0.56,0.54,0.56,0.63,0.52,0.52,0.58,0.56,0.5,0.57,0.51,0.52,0.51,0.55,0.57,0.52,0.52,0.46,0.58,0.41,0.58,0.53,0.61,0.73,0.47,0.38,0.44,0.61,0.39,0.49,0.42,0.43,0.43,0.46,0.46,0.4,0.45,0.38,0.46,0.47,0.44,0.39,0.36,0.43,0.42,0.44,0.44,0.41,0.35,0.36,0.45,0.4,0.37,0.41,0.38,0.39,0.42,0.37,0.36,0.48,0.44,0.38,0.38,0.37,0.4,0.29,0.38,0.44,0.35,0.32,0.33,0.32,0.34,0.37,0.37,0.39,0.4,0.36,0.36,0.38,0.34,0.31,0.32,0.31,0.3,0.37,0.32,0.44,0.31,0.32,0.33,0.31,0.3,0.26,0.35,0.35,0.28,0.32,0.34,0.29,0.34,0.3,0.0,0.25,0.27,0.29,0.34,0.32,0.29,0.28,0.31,0.32,0.27,0.27,0.27,0.27,0.29,0.27,0.3,0.27,0.25,0.28,0.27,0.25,0.27,0.28,0.25,0.27,0.36,0.0,0.33,0.28,0.27,0.27,0.25,0.31,0.26,0.29,0.25,0.25,0.27,0.26,0.31,0.0,0.24,0.26,0.33,0.25,0.3,0.3,0.28,0.24,0.31,0.25,0.0,0.25,0.25,0.28,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.24,0.28,0.0,0.25,0.25,0.61,0.38,0.27,0.0,0.24,0.0,0.36,0.24,0.0,0.0,0.51,0.32,0.27,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23
10/18/2021,1.07,0.79,0.76,0.72,0.82,0.69,0.98,0.74,0.76,0.76,0.75,0.77,0.62,0.71,0.71,0.62,0.68,0.62,0.66,0.65,0.58,0.55,0.58,0.51,0.0,0.34,0.64,0.5,0.61,0.51,0.56,0.54,0.56,0.63,0.52,0.52,0.58,0.56,0.5,0.57,0.51,0.52,0.51,0.55,0.57,0.52,0.52,0.46,0.58,0.41,0.58,0.53,0.61,0.73,0.47,0.38,0.44,0.61,0.39,0.49,0.42,0.43,0.43,0.46,0.46,0.4,0.45,0.38,0.46,0.47,0.44,0.39,0.36,0.43,0.42,0.44,0.44,0.41,0.35,0.36,0.45,0.4,0.37,0.41,0.38,0.39,0.42,0.37,0.36,0.48,0.44,0.38,0.38,0.37,0.4,0.29,0.38,0.44,0.35,0.32,0.33,0.32,0.34,0.37,0.37,0.39,0.4,0.36,0.36,0.38,0.34,0.31,0.32,0.31,0.3,0.37,0.32,0.44,0.31,0.32,0.33,0.31,0.3,0.26,0.35,0.35,0.28,0.32,0.34,0.29,0.34,0.3,0.0,0.25,0.27,0.29,0.34,0.32,0.29,0.28,0.31,0.32,0.27,0.27,0.27,0.27,0.29,0.27,0.3,0.27,0.25,0.28,0.27,0.25,0.27,0.28,0.25,0.27,0.36,0.0,0.33,0.28,0.27,0.27,0.25,0.31,0.26,0.29,0.25,0.25,0.27,0.26,0.31,0.0,0.24,0.26,0.33,0.25,0.3,0.3,0.28,0.24,0.31,0.25,0.0,0.25,0.25,0.28,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.24,0.28,0.0,0.25,0.25,0.61,0.38,0.27,0.0,0.24,0.0,0.36,0.24,0.0,0.0,0.51,0.32,0.27,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23
10/19/2021,1.07,0.79,0.76,0.72,0.82,0.69,0.98,0.74,0.76,0.76,0.75,0.77,0.62,0.71,0.71,0.62,0.68,0.62,0.66,0.65,0.58,0.55,0.58,0.51,0.0,0.34,0.64,0.5,0.61,0.51,0.56,0.54,0.56,0.63,0.52,0.52,0.58,0.56,0.5,0.57,0.51,0.52,0.51,0.55,0.57,0.52,0.52,0.46,0.58,0.41,0.58,0.53,0.61,0.73,0.47,0.38,0.44,0.61,0.39,0.49,0.42,0.43,0.43,0.46,0.46,0.4,0.45,0.38,0.46,0.47,0.44,0.39,0.36,0.43,0.42,0.44,0.44,0.41,0.35,0.36,0.45,0.4,0.37,0.41,0.38,0.39,0.42,0.37,0.36,0.48,0.44,0.38,0.38,0.37,0.4,0.29,0.38,0.44,0.35,0.32,0.33,0.32,0.34,0.37,0.37,0.39,0.4,0.36,0.36,0.38,0.34,0.31,0.32,0.31,0.3,0.37,0.32,0.44,0.31,0.32,0.33,0.31,0.3,0.26,0.35,0.35,0.28,0.32,0.34,0.29,0.34,0.3,0.0,0.25,0.27,0.29,0.34,0.32,0.29,0.28,0.31,0.32,0.27,0.27,0.27,0.27,0.29,0.27,0.3,0.27,0.25,0.28,0.27,0.25,0.27,0.28,0.25,0.27,0.36,0.0,0.33,0.28,0.27,0.27,0.25,0.31,0.26,0.29,0.25,0.25,0.27,0.26,0.31,0.0,0.24,0.26,0.33,0.25,0.3,0.3,0.28,0.24,0.31,0.25,0.0,0.25,0.25,0.28,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.24,0.28,0.0,0.25,0.25,0.61,0.38,0.27,0.0,0.24,0.0,0.36,0.24,0.0,0.0,0.51,0.32,0.27,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23
10/20/2021,1.07,0.79,0.76,0.72,0.82,0.69,0.98,0.74,0.76,0.76,0.75,0.77,0.62,0.71,0.71,0.62,0.68,0.62,0.66,0.65,0.58,0.55,0.58,0.51,0.0,0.34,0.64,0.5,0.61,0.51,0.56,0.54,0.56,0.63,0.52,0.52,0.58,0.56,0.5,0.57,0.51,0.52,0.51,0.55,0.57,0.52,0.52,0.46,0.58,0.41,0.58,0.53,0.61,0.73,0.47,0.38,0.44,0.61,0.39,0.49,0.42,0.43,0.43,0.46,0.46,0.4,0.45,0.38,0.46,0.47,0.44,0.39,0.36,0.43,0.42,0.44,0.44,0.41,0.35,0.36,0.45,0.4,0.37,0.41,0.38,0.39,0.42,0.37,0.36,0.48,0.44,0.38,0.38,0.37,0.4,0.29,0.38,0.44,0.35,0.32,0.33,0.32,0.34,0.37,0.37,0.39,0.4,0.36,0.36,0.38,0.34,0.31,0.32,0.31,0.3,0.37,0.32,0.44,0.31,0.32,0.33,0.31,0.3,0.26,0.35,0.35,0.28,0.32,0.34,0.29,0.34,0.3,0.0,0.25,0.27,0.29,0.34,0.32,0.29,0.28,0.31,0.32,0.27,0.27,0.27,0.27,0.29,0.27,0.3,0.27,0.25,0.28,0.27,0.25,0.27,0.28,0.25,0.27,0.36,0.0,0.33,0.28,0.27,0.27,0.25,0.31,0.26,0.29,0.25,0.25,0.27,0.26,0.31,0.0,0.24,0.26,0.33,0.25,0.3,0.3,0.28,0.24,0.31,0.25,0.0,0.25,0.25,0.28,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.24,0.28,0.0,0.25,0.25,0.61,0.38,0.27,0.0,0.24,0.0,0.36,0.24,0.0,0.0,0.51,0.32,0.27,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23
10/21/2021,1.07,0.79,0.76,0.72,0.82,0.69,0.98,0.74,0.76,0.76,0.75,0.77,0.62,0.71,0.71,0.62,0.68,0.62,0.66,0.65,0.58,0.55,0.58,0.51,0.0,0.34,0.64,0.5,0.61,0.51,0.56,0.54,0.56,0.63,0.52,0.52,0.58,0.56,0.5,0.57,0.51,0.52,0.51,0.55,0.57,0.52,0.52,0.46,0.58,0.41,0.58,0.53,0.61,0.73,0.47,0.38,0.44,0.61,0.39,0.49,0.42,0.43,0.43,0.46,0.46,0.4,0.45,0.38,0.46,0.47,0.44,0.39,0.36,0.43,0.42,0.44,0.44,0.41,0.35,0.36,0.45,0.4,0.37,0.41,0.38,0.39,0.42,0.37,0.36,0.48,0.44,0.38,0.38,0.37,0.4,0.29,0.38,0.44,0.35,0.32,0.33,0.32,0.34,0.37,0.37,0.39,0.4,0.36,0.36,0.38,0.34,0.31,0.32,0.31,0.3,0.37,0.32,0.44,0.31,0.32,0.33,0.31,0.3,0.26,0.35,0.35,0.28,0.32,0.34,0.29,0.34,0.3,0.0,0.25,0.27,0.29,0.34,0.32,0.29,0.28,0.31,0.32,0.27,0.27,0.27,0.27,0.29,0.27,0.3,0.27,0.25,0.28,0.27,0.25,0.27,0.28,0.25,0.27,0.36,0.0,0.33,0.28,0.27,0.27,0.25,0.31,0.26,0.29,0.25,0.25,0.27,0.26,0.31,0.0,0.24,0.26,0.33,0.25,0.3,0.3,0.28,0.24,0.31,0.25,0.0,0.25,0.25,0.28,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.24,0.28,0.0,0.25,0.25,0.61,0.38,0.27,0.0,0.24,0.0,0.36,0.24,0.0,0.0,0.51,0.32,0.27,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23
10/22/2021,1.07,0.79,0.76,0.72,0.82,0.69,0.98,0.74,0.76,0.76,0.75,0.77,0.62,0.71,0.71,0.62,0.68,0.62,0.66,0.65,0.58,0.55,0.58,0.51,0.0,0.34,0.64,0.5,0.61,0.51,0.56,0.54,0.56,0.63,0.52,0.52,0.58,0.56,0.5,0.57,0.51,0.52,0.51,0.55,0.57,0.52,0.52,0.46,0.58,0.41,0.58,0.53,0.61,0.73,0.47,0.38,0.44,0.61,0.39,0.49,0.42,0.43,0.43,0.46,0.46,0.4,0.45,0.38,0.46,0.47,0.44,0.39,0.36,0.43,0.42,0.44,0.44,0.41,0.35,0.36,0.45,0.4,0.37,0.41,0.38,0.39,0.42,0.37,0.36,0.48,0.44,0.38,0.38,0.37,0.4,0.29,0.38,0.44,0.35,0.32,0.33,0.32,0.34,0.37,0.37,0.39,0.4,0.36,0.36,0.38,0.34,0.31,0.32,0.31,0.3,0.37,0.32,0.44,0.31,0.32,0.33,0.31,0.3,0.26,0.35,0.35,0.28,0.32,0.34,0.29,0.34,0.3,0.0,0.25,0.27,0.29,0.34,0.32,0.29,0.28,0.31,0.32,0.27,0.27,0.27,0.27,0.29,0.27,0.3,0.27,0.25,0.28,0.27,0.25,0.27,0.28,0.25,0.27,0.36,0.0,0.33,0.28,0.27,0.27,0.25,0.31,0.26,0.29,0.25,0.25,0.27,0.26,0.31,0.0,0.24,0.26,0.33,0.25,0.3,0.3,0.28,0.24,0.31,0.25,0.0,0.25,0.25,0.28,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.24,0.28,0.0,0.25,0.25,0.61,0.38,0.27,0.0,0.24,0.0,0.36,0.24,0.0,0.0,0.51,0.32,0.27,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23
10/25/2021,1.07,0.79,0.76,0.72,0.82,0.69,0.98,0.74,0.76,0.76,0.75,0.77,0.62,0.71,0.71,0.62,0.68,0.62,0.66,0.65,0.58,0.55,0.58,0.51,0.0,0.34,0.64,0.5,0.61,0.51,0.56,0.54,0.56,0.63,0.52,0.52,0.58,0.56,0.5,0.57,0.51,0.52,0.51,0.55,0.57,0.52,0.52,0.46,0.58,0.41,0.58,0.53,0.61,0.73,0.47,0.38,0.44,0.61,0.39,0.49,0.42,0.43,0.43,0.46,0.46,0.4,0.45,0.38,0.46,0.47,0.44,0.39,0.36,0.43,0.42,0.44,0.44,0.41,0.35,0.36,0.45,0.4,0.37,0.41,0.38,0.39,0.42,0.37,0.36,0.48,0.44,0.38,0.38,0.37,0.4,0.29,0.38,0.44,0.35,0.32,0.33,0.32,0.34,0.37,0.37,0.39,0.4,0.36,0.36,0.38,0.34,0.31,0.32,0.31,0.3,0.37,0.32,0.44,0.31,0.32,0.33,0.31,0.3,0.26,0.35,0.35,0.28,0.32,0.34,0.29,0.34,0.3,0.0,0.25,0.27,0.29,0.34,0.32,0.29,0.28,0.31,0.32,0.27,0.27,0.27,0.27,0.29,0.27,0.3,0.27,0.25,0.28,0.27,0.25,0.27,0.28,0.25,0.27,0.36,0.0,0.33,0.28,0.27,0.27,0.25,0.31,0.26,0.29,0.25,0.25,0.27,0.26,0.31,0.0,0.24,0.26,0.33,0.25,0.3,0.3,0.28,0.24,0.31,0.25,0.0,0.25,0.25,0.28,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.24,0.28,0.0,0.25,0.25,0.61,0.38,0.27,0.0,0.24,0.0,0.36,0.24,0.0,0.0,0.51,0.32,0.27,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23
10/26/2021,1.07,0.79,0.76,0.72,0.82,0.69,0.98,0.74,0.76,0.76,0.75,0.77,0.62,0.71,0.71,0.62,0.68,0.62,0.66,0.65,0.58,0.55,0.58,0.51,0.0,0.34,0.64,0.5,0.61,0.51,0.56,0.54,0.56,0.63,0.52,0.52,0.58,0.56,0.5,0.57,0.51,0.52,0.51,0.55,0.57,0.52,0.52,0.46,0.58,0.41,0.58,0.53,0.61,0.73,0.47,0.38,0.44,0.61,0.39,0.49,0.42,0.43,0.43,0.46,0.46,0.4,0.45,0.38,0.46,0.47,0.44,0.39,0.36,0.43,0.42,0.44,0.44,0.41,0.35,0.36,0.45,0.4,0.37,0.41,0.38,0.39,0.42,0.37,0.36,0.48,0.44,0.38,0.38,0.37,0.4,0.29,0.38,0.44,0.35,0.32,0.33,0.32,0.34,0.37,0.37,0.39,0.4,0.36,0.36,0.38,0.34,0.31,0.32,0.31,0.3,0.37,0.32,0.44,0.31,0.32,0.33,0.31,0.3,0.26,0.35,0.35,0.28,0.32,0.34,0.29,0.34,0.3,0.0,0.25,0.27,0.29,0.34,0.32,0.29,0.28,0.31,0.32,0.27,0.27,0.27,0.27,0.29,0.27,0.3,0.27,0.25,0.28,0.27,0.25,0.27,0.28,0.25,0.27,0.36,0.0,0.33,0.28,0.27,0.27,0.25,0.31,0.26,0.29,0.25,0.25,0.27,0.26,0.31,0.0,0.24,0.26,0.33,0.25,0.3,0.3,0.28,0.24,0.31,0.25,0.0,0.25,0.25,0.28,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.24,0.28,0.0,0.25,0.25,0.61,0.38,0.27,0.0,0.24,0.0,0.36,0.24,0.0,0.0,0.51,0.32,0.27,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23
10/27/2021,1.07,0.79,0.76,0.72,0.82,0.69,0.98,0.74,0.76,0.76,0.75,0.77,0.62,0.71,0.71,0.62,0.68,0.62,0.66,0.65,0.58,0.55,0.58,0.51,0.0,0.34,0.64,0.5,0.61,0.51,0.56,0.54,0.56,0.63,0.52,0.52,0.58,0.56,0.5,0.57,0.51,0.52,0.51,0.55,0.57,0.52,0.52,0.46,0.58,0.41,0.58,0.53,0.61,0.73,0.47,0.38,0.44,0.61,0.39,0.49,0.42,0.43,0.43,0.46,0.46,0.4,0.45,0.38,0.46,0.47,0.44,0.39,0.36,0.43,0.42,0.44,0.44,0.41,0.35,0.36,0.45,0.4,0.37,0.41,0.38,0.39,0.42,0.37,0.36,0.48,0.44,0.38,0.38,0.37,0.4,0.29,0.38,0.44,0.35,0.32,0.33,0.32,0.34,0.37,0.37,0.39,0.4,0.36,0.36,0.38,0.34,0.31,0.32,0.31,0.3,0.37,0.32,0.44,0.31,0.32,0.33,0.31,0.3,0.26,0.35,0.35,0.28,0.32,0.34,0.29,0.34,0.3,0.0,0.25,0.27,0.29,0.34,0.32,0.29,0.28,0.31,0.32,0.27,0.27,0.27,0.27,0.29,0.27,0.3,0.27,0.25,0.28,0.27,0.25,0.27,0.28,0.25,0.27,0.36,0.0,0.33,0.28,0.27,0.27,0.25,0.31,0.26,0.29,0.25,0.25,0.27,0.26,0.31,0.0,0.24,0.26,0.33,0.25,0.3,0.3,0.28,0.24,0.31,0.25,0.0,0.25,0.25,0.28,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.24,0.28,0.0,0.25,0.25,0.61,0.38,0.27,0.0,0.24,0.0,0.36,0.24,0.0,0.0,0.51,0.32,0.27,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23
10/28/2021,0.92,0.71,0.73,0.73,0.89,0.76,1.02,0.7,0.74,0.72,0.67,0.87,0.57,0.65,0.6,0.61,0.6,0.58,0.61,0.69,0.59,0.56,0.53,0.52,0.0,0.3,0.58,0.54,0.6,0.54,0.5,0.55,0.56,0.62,0.52,0.5,0.58,0.53,0.55,0.48,0.54,0.47,0.49,0.53,0.59,0.5,0.48,0.33,0.58,0.4,0.59,0.46,0.64,0.64,0.48,0.39,0.41,0.61,0.41,0.46,0.44,0.45,0.45,0.43,0.48,0.37,0.45,0.39,0.44,0.44,0.42,0.38,0.32,0.42,0.35,0.4,0.41,0.42,0.39,0.4,0.48,0.37,0.35,0.41,0.4,0.36,0.42,0.33,0.37,0.0,0.39,0.37,0.34,0.39,0.38,0.32,0.36,0.44,0.4,0.31,0.32,0.33,0.37,0.36,0.45,0.4,0.37,0.35,0.33,0.39,0.36,0.31,0.3,0.32,0.3,0.35,0.33,0.46,0.31,0.33,0.33,0.34,0.28,0.29,0.32,0.32,0.27,0.29,0.34,0.29,0.33,0.27,0.0,0.0,0.26,0.0,0.29,0.31,0.26,0.31,0.3,0.32,0.27,0.25,0.27,0.26,0.25,0.26,0.3,0.28,0.0,0.27,0.27,0.27,0.38,0.33,0.31,0.27,0.35,0.0,0.33,0.25,0.28,0.27,0.24,0.3,0.28,0.29,0.26,0.25,0.25,0.26,0.32,0.0,0.0,0.0,0.27,0.26,0.32,0.32,0.29,0.0,0.32,0.26,0.0,0.27,0.24,0.27,0.0,0.24,0.0,0.24,0.0,0.0,0.0,0.29,0.26,0.26,0.0,0.24,0.7,0.4,0.26,0.24,0.0,0.29,0.36,0.0,0.0,0.0,0.47,0.3,0.27,0.26,0.25,0.58,0.51,0.42,0.42,0.27,0.26,0.24,81.74000000000001
10/29/2021,0.92,0.71,0.73,0.73,0.89,0.76,1.02,0.7,0.74,0.72,0.67,0.87,0.57,0.65,0.6,0.61,0.6,0.58,0.61,0.69,0.59,0.56,0.53,0.52,0.0,0.3,0.58,0.54,0.6,0.54,0.5,0.55,0.56,0.62,0.52,0.5,0.58,0.53,0.55,0.48,0.54,0.47,0.49,0.53,0.59,0.5,0.48,0.33,0.58,0.4,0.59,0.46,0.64,0.64,0.48,0.39,0.41,0.61,0.41,0.46,0.44,0.45,0.45,0.43,0.48,0.37,0.45,0.39,0.44,0.44,0.42,0.38,0.32,0.42,0.35,0.4,0.41,0.42,0.39,0.4,0.48,0.37,0.35,0.41,0.4,0.36,0.42,0.33,0.37,0.0,0.39,0.37,0.34,0.39,0.38,0.32,0.36,0.44,0.4,0.31,0.32,0.33,0.37,0.36,0.45,0.4,0.37,0.35,0.33,0.39,0.36,0.31,0.3,0.32,0.3,0.35,0.33,0.46,0.31,0.33,0.33,0.34,0.28,0.29,0.32,0.32,0.27,0.29,0.34,0.29,0.33,0.27,0.0,0.0,0.26,0.0,0.29,0.31,0.26,0.31,0.3,0.32,0.27,0.25,0.27,0.26,0.25,0.26,0.3,0.28,0.0,0.27,0.27,0.27,0.38,0.33,0.31,0.27,0.35,0.0,0.33,0.25,0.28,0.27,0.24,0.3,0.28,0.29,0.26,0.25,0.25,0.26,0.32,0.0,0.0,0.0,0.27,0.26,0.32,0.32,0.29,0.0,0.32,0.26,0.0,0.27,0.24,0.27,0.0,0.24,0.0,0.24,0.0,0.0,0.0,0.29,0.26,0.26,0.0,0.24,0.7,0.4,0.26,0.24,0.0,0.29,0.36,0.0,0.0,0.0,0.47,0.3,0.27,0.26,0.25,0.58,0.51,0.42,0.42,0.27,0.26,0.24,81.74000000000001
