,BRK.B,JPM,DIS,BAC,JNJ,XOM,VZ,INTC,CSCO,PFE,T,CVX,WFC,UNH,PG,MDT,WMT,C,HON,V,PM,CMCSA,KO,MS,BA,RTX,IBM,GS,GE,PEP,MMM,CVS,SCHW,MCD,AXP,MA,MRK,ANTM,HD,MU,FIS,MO,CI,MDLZ,PLD,ABT,TFC,GILD,USB,PNC,TXN,NEE,TJX,ACN,COST,CME,UNP,DUK,CB,COP,GM,COF,BMY,BDX,CAT,AMGN,SO,LIN,ORCL,NKE,LLY,AVGO,D,BSX,BKNG,ETN,GPN,HCA,AMT,F,NOC,SBUX,NXPI,ABBV,DHR,LMT,MET,JCI,EOG,UPS,AIG,DD,ROST,EXC,GD,SLB,ADP,CNC,AEP,SRE,SYK,DLR,PPG,PRU,SPG,BK,BAX,ALL,SYY,LOW,STZ,TRV,MPC,NSC,TGT,GIS,MAR,XEL,WBA,ITW,BLK,ADM,PSX,CSX,HPQ,LUV,AFL,DFS,MMC,APD,KMI,IFF,ZBH,SWK,ADI,EMR,CL,CTVA,WLTW,WM,VLO,CCI,WMB,PCAR,PEG,PXD,WELL,EL,ATVI,MCK,STT,NUE,DAL,AMP,FITB,ISRG,WEC,ILMN,CBRE,ICE,LYB,ECL,AVB,WY,DE,KHC,KR,ES,TEL,EQIX,FDX,AON,KMB,HUM,LEN,LH,DTE,EQR,NEM,ED,DOW,EW,SYF,TMUS,VFC,O,NTRS,VIAC,IP,FTV,PSA,TT,FCX,CCL,OKE,TSN,HIG,WDC,RSG,DLTR,OXY,ARE,BIIB,ZTS,ROP,MRNA,DOV,HLT,MLM,n/a,HBAN,DVN,EIX,SHW,MAA,SUM
10/18/2021,3.09,2.77,1.88,1.8,1.56,1.32,1.3,1.25,1.42,1.47,1.12,1.07,1.08,1.08,1.04,1.03,1.16,0.85,0.92,0.89,0.92,0.89,0.81,0.89,0.69,0.73,0.54,0.8,0.66,0.72,0.65,0.65,0.62,0.61,0.62,0.55,0.57,0.52,0.55,0.47,0.45,0.53,0.41,0.5,0.57,0.53,0.44,0.52,0.44,0.46,0.47,0.54,0.5,0.54,0.54,0.41,0.43,0.46,0.47,0.43,0.36,0.43,0.41,0.42,0.35,0.37,0.4,0.39,0.42,0.43,0.46,0.37,0.36,0.37,0.33,0.38,0.27,0.38,0.37,0.29,0.31,0.33,0.32,0.32,0.38,0.27,0.26,0.31,0.23,0.24,0.27,0.23,0.24,0.27,0.26,0.22,0.26,0.21,0.26,0.24,0.26,0.26,0.22,0.24,0.25,0.25,0.22,0.23,0.23,0.24,0.2,0.23,0.22,0.2,0.24,0.2,0.21,0.21,0.21,0.21,0.23,0.19,0.18,0.2,0.2,0.17,0.2,0.22,0.23,0.18,0.18,0.22,0.18,0.18,0.29,0.22,0.18,0.18,0.16,0.21,0.15,0.19,0.17,0.16,0.18,0.2,0.21,0.2,0.15,0.18,0.18,0.2,0.15,0.18,0.16,0.21,0.17,0.19,0.18,0.18,0.15,0.17,0.18,0.15,0.17,0.0,0.2,0.18,0.18,0.18,0.13,0.18,0.16,0.14,0.17,0.17,0.13,0.17,0.0,0.15,0.14,0.18,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.16,0.15,0.0,0.0,0.13,0.0,0.14,0.0,0.15,0.0,0.0,0.16,0.14,0.15,0.13,0.28,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,82.58999999999999
10/19/2021,3.09,2.77,1.88,1.8,1.56,1.32,1.3,1.25,1.42,1.47,1.12,1.07,1.08,1.08,1.04,1.03,1.16,0.85,0.92,0.89,0.92,0.89,0.81,0.89,0.69,0.73,0.54,0.8,0.66,0.72,0.65,0.65,0.62,0.61,0.62,0.55,0.57,0.52,0.55,0.47,0.45,0.53,0.41,0.5,0.57,0.53,0.44,0.52,0.44,0.46,0.47,0.54,0.5,0.54,0.54,0.41,0.43,0.46,0.47,0.43,0.36,0.43,0.41,0.42,0.35,0.37,0.4,0.39,0.42,0.43,0.46,0.37,0.36,0.37,0.33,0.38,0.27,0.38,0.37,0.29,0.31,0.33,0.32,0.32,0.38,0.27,0.26,0.31,0.23,0.24,0.27,0.23,0.24,0.27,0.26,0.22,0.26,0.21,0.26,0.24,0.26,0.26,0.22,0.24,0.25,0.25,0.22,0.23,0.23,0.24,0.2,0.23,0.22,0.2,0.24,0.2,0.21,0.21,0.21,0.21,0.23,0.19,0.18,0.2,0.2,0.17,0.2,0.22,0.23,0.18,0.18,0.22,0.18,0.18,0.29,0.22,0.18,0.18,0.16,0.21,0.15,0.19,0.17,0.16,0.18,0.2,0.21,0.2,0.15,0.18,0.18,0.2,0.15,0.18,0.16,0.21,0.17,0.19,0.18,0.18,0.15,0.17,0.18,0.15,0.17,0.0,0.2,0.18,0.18,0.18,0.13,0.18,0.16,0.14,0.17,0.17,0.13,0.17,0.0,0.15,0.14,0.18,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.16,0.15,0.0,0.0,0.13,0.0,0.14,0.0,0.15,0.0,0.0,0.16,0.14,0.15,0.13,0.28,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,82.58999999999999
10/20/2021,3.09,2.77,1.88,1.8,1.56,1.32,1.3,1.25,1.42,1.47,1.12,1.07,1.08,1.08,1.04,1.03,1.16,0.85,0.92,0.89,0.92,0.89,0.81,0.89,0.69,0.73,0.54,0.8,0.66,0.72,0.65,0.65,0.62,0.61,0.62,0.55,0.57,0.52,0.55,0.47,0.45,0.53,0.41,0.5,0.57,0.53,0.44,0.52,0.44,0.46,0.47,0.54,0.5,0.54,0.54,0.41,0.43,0.46,0.47,0.43,0.36,0.43,0.41,0.42,0.35,0.37,0.4,0.39,0.42,0.43,0.46,0.37,0.36,0.37,0.33,0.38,0.27,0.38,0.37,0.29,0.31,0.33,0.32,0.32,0.38,0.27,0.26,0.31,0.23,0.24,0.27,0.23,0.24,0.27,0.26,0.22,0.26,0.21,0.26,0.24,0.26,0.26,0.22,0.24,0.25,0.25,0.22,0.23,0.23,0.24,0.2,0.23,0.22,0.2,0.24,0.2,0.21,0.21,0.21,0.21,0.23,0.19,0.18,0.2,0.2,0.17,0.2,0.22,0.23,0.18,0.18,0.22,0.18,0.18,0.29,0.22,0.18,0.18,0.16,0.21,0.15,0.19,0.17,0.16,0.18,0.2,0.21,0.2,0.15,0.18,0.18,0.2,0.15,0.18,0.16,0.21,0.17,0.19,0.18,0.18,0.15,0.17,0.18,0.15,0.17,0.0,0.2,0.18,0.18,0.18,0.13,0.18,0.16,0.14,0.17,0.17,0.13,0.17,0.0,0.15,0.14,0.18,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.16,0.15,0.0,0.0,0.13,0.0,0.14,0.0,0.15,0.0,0.0,0.16,0.14,0.15,0.13,0.28,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,82.58999999999999
10/21/2021,3.09,2.77,1.88,1.8,1.56,1.32,1.3,1.25,1.42,1.47,1.12,1.07,1.08,1.08,1.04,1.03,1.16,0.85,0.92,0.89,0.92,0.89,0.81,0.89,0.69,0.73,0.54,0.8,0.66,0.72,0.65,0.65,0.62,0.61,0.62,0.55,0.57,0.52,0.55,0.47,0.45,0.53,0.41,0.5,0.57,0.53,0.44,0.52,0.44,0.46,0.47,0.54,0.5,0.54,0.54,0.41,0.43,0.46,0.47,0.43,0.36,0.43,0.41,0.42,0.35,0.37,0.4,0.39,0.42,0.43,0.46,0.37,0.36,0.37,0.33,0.38,0.27,0.38,0.37,0.29,0.31,0.33,0.32,0.32,0.38,0.27,0.26,0.31,0.23,0.24,0.27,0.23,0.24,0.27,0.26,0.22,0.26,0.21,0.26,0.24,0.26,0.26,0.22,0.24,0.25,0.25,0.22,0.23,0.23,0.24,0.2,0.23,0.22,0.2,0.24,0.2,0.21,0.21,0.21,0.21,0.23,0.19,0.18,0.2,0.2,0.17,0.2,0.22,0.23,0.18,0.18,0.22,0.18,0.18,0.29,0.22,0.18,0.18,0.16,0.21,0.15,0.19,0.17,0.16,0.18,0.2,0.21,0.2,0.15,0.18,0.18,0.2,0.15,0.18,0.16,0.21,0.17,0.19,0.18,0.18,0.15,0.17,0.18,0.15,0.17,0.0,0.2,0.18,0.18,0.18,0.13,0.18,0.16,0.14,0.17,0.17,0.13,0.17,0.0,0.15,0.14,0.18,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.16,0.15,0.0,0.0,0.13,0.0,0.14,0.0,0.15,0.0,0.0,0.16,0.14,0.15,0.13,0.28,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,82.58999999999999
10/22/2021,3.09,2.77,1.88,1.8,1.56,1.32,1.3,1.25,1.42,1.47,1.12,1.07,1.08,1.08,1.04,1.03,1.16,0.85,0.92,0.89,0.92,0.89,0.81,0.89,0.69,0.73,0.54,0.8,0.66,0.72,0.65,0.65,0.62,0.61,0.62,0.55,0.57,0.52,0.55,0.47,0.45,0.53,0.41,0.5,0.57,0.53,0.44,0.52,0.44,0.46,0.47,0.54,0.5,0.54,0.54,0.41,0.43,0.46,0.47,0.43,0.36,0.43,0.41,0.42,0.35,0.37,0.4,0.39,0.42,0.43,0.46,0.37,0.36,0.37,0.33,0.38,0.27,0.38,0.37,0.29,0.31,0.33,0.32,0.32,0.38,0.27,0.26,0.31,0.23,0.24,0.27,0.23,0.24,0.27,0.26,0.22,0.26,0.21,0.26,0.24,0.26,0.26,0.22,0.24,0.25,0.25,0.22,0.23,0.23,0.24,0.2,0.23,0.22,0.2,0.24,0.2,0.21,0.21,0.21,0.21,0.23,0.19,0.18,0.2,0.2,0.17,0.2,0.22,0.23,0.18,0.18,0.22,0.18,0.18,0.29,0.22,0.18,0.18,0.16,0.21,0.15,0.19,0.17,0.16,0.18,0.2,0.21,0.2,0.15,0.18,0.18,0.2,0.15,0.18,0.16,0.21,0.17,0.19,0.18,0.18,0.15,0.17,0.18,0.15,0.17,0.0,0.2,0.18,0.18,0.18,0.13,0.18,0.16,0.14,0.17,0.17,0.13,0.17,0.0,0.15,0.14,0.18,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.16,0.15,0.0,0.0,0.13,0.0,0.14,0.0,0.15,0.0,0.0,0.16,0.14,0.15,0.13,0.28,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,82.58999999999999
10/25/2021,3.09,2.77,1.88,1.8,1.56,1.32,1.3,1.25,1.42,1.47,1.12,1.07,1.08,1.08,1.04,1.03,1.16,0.85,0.92,0.89,0.92,0.89,0.81,0.89,0.69,0.73,0.54,0.8,0.66,0.72,0.65,0.65,0.62,0.61,0.62,0.55,0.57,0.52,0.55,0.47,0.45,0.53,0.41,0.5,0.57,0.53,0.44,0.52,0.44,0.46,0.47,0.54,0.5,0.54,0.54,0.41,0.43,0.46,0.47,0.43,0.36,0.43,0.41,0.42,0.35,0.37,0.4,0.39,0.42,0.43,0.46,0.37,0.36,0.37,0.33,0.38,0.27,0.38,0.37,0.29,0.31,0.33,0.32,0.32,0.38,0.27,0.26,0.31,0.23,0.24,0.27,0.23,0.24,0.27,0.26,0.22,0.26,0.21,0.26,0.24,0.26,0.26,0.22,0.24,0.25,0.25,0.22,0.23,0.23,0.24,0.2,0.23,0.22,0.2,0.24,0.2,0.21,0.21,0.21,0.21,0.23,0.19,0.18,0.2,0.2,0.17,0.2,0.22,0.23,0.18,0.18,0.22,0.18,0.18,0.29,0.22,0.18,0.18,0.16,0.21,0.15,0.19,0.17,0.16,0.18,0.2,0.21,0.2,0.15,0.18,0.18,0.2,0.15,0.18,0.16,0.21,0.17,0.19,0.18,0.18,0.15,0.17,0.18,0.15,0.17,0.0,0.2,0.18,0.18,0.18,0.13,0.18,0.16,0.14,0.17,0.17,0.13,0.17,0.0,0.15,0.14,0.18,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.16,0.15,0.0,0.0,0.13,0.0,0.14,0.0,0.15,0.0,0.0,0.16,0.14,0.15,0.13,0.28,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,82.58999999999999
10/26/2021,3.09,2.77,1.88,1.8,1.56,1.32,1.3,1.25,1.42,1.47,1.12,1.07,1.08,1.08,1.04,1.03,1.16,0.85,0.92,0.89,0.92,0.89,0.81,0.89,0.69,0.73,0.54,0.8,0.66,0.72,0.65,0.65,0.62,0.61,0.62,0.55,0.57,0.52,0.55,0.47,0.45,0.53,0.41,0.5,0.57,0.53,0.44,0.52,0.44,0.46,0.47,0.54,0.5,0.54,0.54,0.41,0.43,0.46,0.47,0.43,0.36,0.43,0.41,0.42,0.35,0.37,0.4,0.39,0.42,0.43,0.46,0.37,0.36,0.37,0.33,0.38,0.27,0.38,0.37,0.29,0.31,0.33,0.32,0.32,0.38,0.27,0.26,0.31,0.23,0.24,0.27,0.23,0.24,0.27,0.26,0.22,0.26,0.21,0.26,0.24,0.26,0.26,0.22,0.24,0.25,0.25,0.22,0.23,0.23,0.24,0.2,0.23,0.22,0.2,0.24,0.2,0.21,0.21,0.21,0.21,0.23,0.19,0.18,0.2,0.2,0.17,0.2,0.22,0.23,0.18,0.18,0.22,0.18,0.18,0.29,0.22,0.18,0.18,0.16,0.21,0.15,0.19,0.17,0.16,0.18,0.2,0.21,0.2,0.15,0.18,0.18,0.2,0.15,0.18,0.16,0.21,0.17,0.19,0.18,0.18,0.15,0.17,0.18,0.15,0.17,0.0,0.2,0.18,0.18,0.18,0.13,0.18,0.16,0.14,0.17,0.17,0.13,0.17,0.0,0.15,0.14,0.18,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.16,0.15,0.0,0.0,0.13,0.0,0.14,0.0,0.15,0.0,0.0,0.16,0.14,0.15,0.13,0.28,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,82.58999999999999
10/27/2021,3.09,2.77,1.88,1.8,1.56,1.32,1.3,1.25,1.42,1.47,1.12,1.07,1.08,1.08,1.04,1.03,1.16,0.85,0.92,0.89,0.92,0.89,0.81,0.89,0.69,0.73,0.54,0.8,0.66,0.72,0.65,0.65,0.62,0.61,0.62,0.55,0.57,0.52,0.55,0.47,0.45,0.53,0.41,0.5,0.57,0.53,0.44,0.52,0.44,0.46,0.47,0.54,0.5,0.54,0.54,0.41,0.43,0.46,0.47,0.43,0.36,0.43,0.41,0.42,0.35,0.37,0.4,0.39,0.42,0.43,0.46,0.37,0.36,0.37,0.33,0.38,0.27,0.38,0.37,0.29,0.31,0.33,0.32,0.32,0.38,0.27,0.26,0.31,0.23,0.24,0.27,0.23,0.24,0.27,0.26,0.22,0.26,0.21,0.26,0.24,0.26,0.26,0.22,0.24,0.25,0.25,0.22,0.23,0.23,0.24,0.2,0.23,0.22,0.2,0.24,0.2,0.21,0.21,0.21,0.21,0.23,0.19,0.18,0.2,0.2,0.17,0.2,0.22,0.23,0.18,0.18,0.22,0.18,0.18,0.29,0.22,0.18,0.18,0.16,0.21,0.15,0.19,0.17,0.16,0.18,0.2,0.21,0.2,0.15,0.18,0.18,0.2,0.15,0.18,0.16,0.21,0.17,0.19,0.18,0.18,0.15,0.17,0.18,0.15,0.17,0.0,0.2,0.18,0.18,0.18,0.13,0.18,0.16,0.14,0.17,0.17,0.13,0.17,0.0,0.15,0.14,0.18,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.16,0.15,0.0,0.0,0.13,0.0,0.14,0.0,0.15,0.0,0.0,0.16,0.14,0.15,0.13,0.28,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,82.58999999999999
10/28/2021,2.99,2.89,1.81,1.86,1.51,1.47,1.32,1.28,1.35,1.42,1.14,1.16,1.12,1.04,1.04,0.99,1.18,0.84,0.86,0.89,0.87,0.85,0.78,0.84,0.72,0.76,0.55,0.75,0.67,0.71,0.6,0.66,0.65,0.64,0.64,0.57,0.58,0.54,0.58,0.47,0.44,0.5,0.4,0.48,0.55,0.51,0.46,0.52,0.47,0.49,0.49,0.52,0.47,0.53,0.55,0.41,0.39,0.44,0.45,0.54,0.45,0.43,0.37,0.42,0.33,0.36,0.39,0.38,0.38,0.39,0.42,0.38,0.35,0.36,0.36,0.35,0.27,0.35,0.35,0.33,0.32,0.32,0.29,0.29,0.37,0.27,0.27,0.29,0.28,0.23,0.28,0.21,0.23,0.28,0.27,0.24,0.26,0.21,0.24,0.24,0.27,0.24,0.2,0.24,0.25,0.24,0.24,0.22,0.24,0.25,0.21,0.22,0.23,0.19,0.23,0.21,0.24,0.2,0.2,0.2,0.21,0.2,0.18,0.19,0.19,0.18,0.19,0.22,0.23,0.18,0.19,0.2,0.18,0.17,0.3,0.2,0.18,0.18,0.18,0.21,0.17,0.18,0.19,0.16,0.18,0.22,0.21,0.18,0.15,0.18,0.18,0.17,0.16,0.18,0.17,0.21,0.16,0.18,0.19,0.18,0.15,0.17,0.18,0.16,0.14,0.15,0.16,0.17,0.16,0.18,0.0,0.18,0.16,0.14,0.15,0.16,0.0,0.16,0.0,0.15,0.0,0.18,0.16,0.14,0.0,0.15,0.13,0.14,0.0,0.15,0.15,0.13,0.0,0.0,0.15,0.14,0.14,0.0,0.15,0.13,0.15,0.16,0.0,0.15,0.0,0.34,0.13,0.14,0.0,0.46,0.13,0.13,0.0,0.0,0.0,82.63999999999999
10/29/2021,2.99,2.89,1.81,1.86,1.51,1.47,1.32,1.28,1.35,1.42,1.14,1.16,1.12,1.04,1.04,0.99,1.18,0.84,0.86,0.89,0.87,0.85,0.78,0.84,0.72,0.76,0.55,0.75,0.67,0.71,0.6,0.66,0.65,0.64,0.64,0.57,0.58,0.54,0.58,0.47,0.44,0.5,0.4,0.48,0.55,0.51,0.46,0.52,0.47,0.49,0.49,0.52,0.47,0.53,0.55,0.41,0.39,0.44,0.45,0.54,0.45,0.43,0.37,0.42,0.33,0.36,0.39,0.38,0.38,0.39,0.42,0.38,0.35,0.36,0.36,0.35,0.27,0.35,0.35,0.33,0.32,0.32,0.29,0.29,0.37,0.27,0.27,0.29,0.28,0.23,0.28,0.21,0.23,0.28,0.27,0.24,0.26,0.21,0.24,0.24,0.27,0.24,0.2,0.24,0.25,0.24,0.24,0.22,0.24,0.25,0.21,0.22,0.23,0.19,0.23,0.21,0.24,0.2,0.2,0.2,0.21,0.2,0.18,0.19,0.19,0.18,0.19,0.22,0.23,0.18,0.19,0.2,0.18,0.17,0.3,0.2,0.18,0.18,0.18,0.21,0.17,0.18,0.19,0.16,0.18,0.22,0.21,0.18,0.15,0.18,0.18,0.17,0.16,0.18,0.17,0.21,0.16,0.18,0.19,0.18,0.15,0.17,0.18,0.16,0.14,0.15,0.16,0.17,0.16,0.18,0.0,0.18,0.16,0.14,0.15,0.16,0.0,0.16,0.0,0.15,0.0,0.18,0.16,0.14,0.0,0.15,0.13,0.14,0.0,0.15,0.15,0.13,0.0,0.0,0.15,0.14,0.14,0.0,0.15,0.13,0.15,0.16,0.0,0.15,0.0,0.34,0.13,0.14,0.0,0.46,0.13,0.13,0.0,0.0,0.0,82.63999999999999
11/01/2021,2.99,2.89,1.81,1.86,1.51,1.47,1.32,1.28,1.35,1.42,1.14,1.16,1.12,1.04,1.04,0.99,1.18,0.84,0.86,0.89,0.87,0.85,0.78,0.84,0.72,0.76,0.55,0.75,0.67,0.71,0.6,0.66,0.65,0.64,0.64,0.57,0.58,0.54,0.58,0.47,0.44,0.5,0.4,0.48,0.55,0.51,0.46,0.52,0.47,0.49,0.49,0.52,0.47,0.53,0.55,0.41,0.39,0.44,0.45,0.54,0.45,0.43,0.37,0.42,0.33,0.36,0.39,0.38,0.38,0.39,0.42,0.38,0.35,0.36,0.36,0.35,0.27,0.35,0.35,0.33,0.32,0.32,0.29,0.29,0.37,0.27,0.27,0.29,0.28,0.23,0.28,0.21,0.23,0.28,0.27,0.24,0.26,0.21,0.24,0.24,0.27,0.24,0.2,0.24,0.25,0.24,0.24,0.22,0.24,0.25,0.21,0.22,0.23,0.19,0.23,0.21,0.24,0.2,0.2,0.2,0.21,0.2,0.18,0.19,0.19,0.18,0.19,0.22,0.23,0.18,0.19,0.2,0.18,0.17,0.3,0.2,0.18,0.18,0.18,0.21,0.17,0.18,0.19,0.16,0.18,0.22,0.21,0.18,0.15,0.18,0.18,0.17,0.16,0.18,0.17,0.21,0.16,0.18,0.19,0.18,0.15,0.17,0.18,0.16,0.14,0.15,0.16,0.17,0.16,0.18,0.0,0.18,0.16,0.14,0.15,0.16,0.0,0.16,0.0,0.15,0.0,0.18,0.16,0.14,0.0,0.15,0.13,0.14,0.0,0.15,0.15,0.13,0.0,0.0,0.15,0.14,0.14,0.0,0.15,0.13,0.15,0.16,0.0,0.15,0.0,0.34,0.13,0.14,0.0,0.46,0.13,0.13,0.0,0.0,0.0,82.63999999999999
11/02/2021,2.99,2.89,1.81,1.86,1.51,1.47,1.32,1.28,1.35,1.42,1.14,1.16,1.12,1.04,1.04,0.99,1.18,0.84,0.86,0.89,0.87,0.85,0.78,0.84,0.72,0.76,0.55,0.75,0.67,0.71,0.6,0.66,0.65,0.64,0.64,0.57,0.58,0.54,0.58,0.47,0.44,0.5,0.4,0.48,0.55,0.51,0.46,0.52,0.47,0.49,0.49,0.52,0.47,0.53,0.55,0.41,0.39,0.44,0.45,0.54,0.45,0.43,0.37,0.42,0.33,0.36,0.39,0.38,0.38,0.39,0.42,0.38,0.35,0.36,0.36,0.35,0.27,0.35,0.35,0.33,0.32,0.32,0.29,0.29,0.37,0.27,0.27,0.29,0.28,0.23,0.28,0.21,0.23,0.28,0.27,0.24,0.26,0.21,0.24,0.24,0.27,0.24,0.2,0.24,0.25,0.24,0.24,0.22,0.24,0.25,0.21,0.22,0.23,0.19,0.23,0.21,0.24,0.2,0.2,0.2,0.21,0.2,0.18,0.19,0.19,0.18,0.19,0.22,0.23,0.18,0.19,0.2,0.18,0.17,0.3,0.2,0.18,0.18,0.18,0.21,0.17,0.18,0.19,0.16,0.18,0.22,0.21,0.18,0.15,0.18,0.18,0.17,0.16,0.18,0.17,0.21,0.16,0.18,0.19,0.18,0.15,0.17,0.18,0.16,0.14,0.15,0.16,0.17,0.16,0.18,0.0,0.18,0.16,0.14,0.15,0.16,0.0,0.16,0.0,0.15,0.0,0.18,0.16,0.14,0.0,0.15,0.13,0.14,0.0,0.15,0.15,0.13,0.0,0.0,0.15,0.14,0.14,0.0,0.15,0.13,0.15,0.16,0.0,0.15,0.0,0.34,0.13,0.14,0.0,0.46,0.13,0.13,0.0,0.0,0.0,82.63999999999999
11/03/2021,2.99,2.89,1.81,1.86,1.51,1.47,1.32,1.28,1.35,1.42,1.14,1.16,1.12,1.04,1.04,0.99,1.18,0.84,0.86,0.89,0.87,0.85,0.78,0.84,0.72,0.76,0.55,0.75,0.67,0.71,0.6,0.66,0.65,0.64,0.64,0.57,0.58,0.54,0.58,0.47,0.44,0.5,0.4,0.48,0.55,0.51,0.46,0.52,0.47,0.49,0.49,0.52,0.47,0.53,0.55,0.41,0.39,0.44,0.45,0.54,0.45,0.43,0.37,0.42,0.33,0.36,0.39,0.38,0.38,0.39,0.42,0.38,0.35,0.36,0.36,0.35,0.27,0.35,0.35,0.33,0.32,0.32,0.29,0.29,0.37,0.27,0.27,0.29,0.28,0.23,0.28,0.21,0.23,0.28,0.27,0.24,0.26,0.21,0.24,0.24,0.27,0.24,0.2,0.24,0.25,0.24,0.24,0.22,0.24,0.25,0.21,0.22,0.23,0.19,0.23,0.21,0.24,0.2,0.2,0.2,0.21,0.2,0.18,0.19,0.19,0.18,0.19,0.22,0.23,0.18,0.19,0.2,0.18,0.17,0.3,0.2,0.18,0.18,0.18,0.21,0.17,0.18,0.19,0.16,0.18,0.22,0.21,0.18,0.15,0.18,0.18,0.17,0.16,0.18,0.17,0.21,0.16,0.18,0.19,0.18,0.15,0.17,0.18,0.16,0.14,0.15,0.16,0.17,0.16,0.18,0.0,0.18,0.16,0.14,0.15,0.16,0.0,0.16,0.0,0.15,0.0,0.18,0.16,0.14,0.0,0.15,0.13,0.14,0.0,0.15,0.15,0.13,0.0,0.0,0.15,0.14,0.14,0.0,0.15,0.13,0.15,0.16,0.0,0.15,0.0,0.34,0.13,0.14,0.0,0.46,0.13,0.13,0.0,0.0,0.0,82.63999999999999
11/04/2021,2.99,2.89,1.81,1.86,1.51,1.47,1.32,1.28,1.35,1.42,1.14,1.16,1.12,1.04,1.04,0.99,1.18,0.84,0.86,0.89,0.87,0.85,0.78,0.84,0.72,0.76,0.55,0.75,0.67,0.71,0.6,0.66,0.65,0.64,0.64,0.57,0.58,0.54,0.58,0.47,0.44,0.5,0.4,0.48,0.55,0.51,0.46,0.52,0.47,0.49,0.49,0.52,0.47,0.53,0.55,0.41,0.39,0.44,0.45,0.54,0.45,0.43,0.37,0.42,0.33,0.36,0.39,0.38,0.38,0.39,0.42,0.38,0.35,0.36,0.36,0.35,0.27,0.35,0.35,0.33,0.32,0.32,0.29,0.29,0.37,0.27,0.27,0.29,0.28,0.23,0.28,0.21,0.23,0.28,0.27,0.24,0.26,0.21,0.24,0.24,0.27,0.24,0.2,0.24,0.25,0.24,0.24,0.22,0.24,0.25,0.21,0.22,0.23,0.19,0.23,0.21,0.24,0.2,0.2,0.2,0.21,0.2,0.18,0.19,0.19,0.18,0.19,0.22,0.23,0.18,0.19,0.2,0.18,0.17,0.3,0.2,0.18,0.18,0.18,0.21,0.17,0.18,0.19,0.16,0.18,0.22,0.21,0.18,0.15,0.18,0.18,0.17,0.16,0.18,0.17,0.21,0.16,0.18,0.19,0.18,0.15,0.17,0.18,0.16,0.14,0.15,0.16,0.17,0.16,0.18,0.0,0.18,0.16,0.14,0.15,0.16,0.0,0.16,0.0,0.15,0.0,0.18,0.16,0.14,0.0,0.15,0.13,0.14,0.0,0.15,0.15,0.13,0.0,0.0,0.15,0.14,0.14,0.0,0.15,0.13,0.15,0.16,0.0,0.15,0.0,0.34,0.13,0.14,0.0,0.46,0.13,0.13,0.0,0.0,0.0,82.63999999999999
11/05/2021,2.99,2.89,1.81,1.86,1.51,1.47,1.32,1.28,1.35,1.42,1.14,1.16,1.12,1.04,1.04,0.99,1.18,0.84,0.86,0.89,0.87,0.85,0.78,0.84,0.72,0.76,0.55,0.75,0.67,0.71,0.6,0.66,0.65,0.64,0.64,0.57,0.58,0.54,0.58,0.47,0.44,0.5,0.4,0.48,0.55,0.51,0.46,0.52,0.47,0.49,0.49,0.52,0.47,0.53,0.55,0.41,0.39,0.44,0.45,0.54,0.45,0.43,0.37,0.42,0.33,0.36,0.39,0.38,0.38,0.39,0.42,0.38,0.35,0.36,0.36,0.35,0.27,0.35,0.35,0.33,0.32,0.32,0.29,0.29,0.37,0.27,0.27,0.29,0.28,0.23,0.28,0.21,0.23,0.28,0.27,0.24,0.26,0.21,0.24,0.24,0.27,0.24,0.2,0.24,0.25,0.24,0.24,0.22,0.24,0.25,0.21,0.22,0.23,0.19,0.23,0.21,0.24,0.2,0.2,0.2,0.21,0.2,0.18,0.19,0.19,0.18,0.19,0.22,0.23,0.18,0.19,0.2,0.18,0.17,0.3,0.2,0.18,0.18,0.18,0.21,0.17,0.18,0.19,0.16,0.18,0.22,0.21,0.18,0.15,0.18,0.18,0.17,0.16,0.18,0.17,0.21,0.16,0.18,0.19,0.18,0.15,0.17,0.18,0.16,0.14,0.15,0.16,0.17,0.16,0.18,0.0,0.18,0.16,0.14,0.15,0.16,0.0,0.16,0.0,0.15,0.0,0.18,0.16,0.14,0.0,0.15,0.13,0.14,0.0,0.15,0.15,0.13,0.0,0.0,0.15,0.14,0.14,0.0,0.15,0.13,0.15,0.16,0.0,0.15,0.0,0.34,0.13,0.14,0.0,0.46,0.13,0.13,0.0,0.0,0.0,82.63999999999999
