,2330.TW,700.HK,9988.HK,NESN.SW,005930.KS,ASML.AS,ROG.SW,7203.T,SAP.DE,1299.HK,AZN.L,ULVR.L,3690.HK,RY.TO,SHOP,CBA.AX,NOVO B.CO,TD.TO,6758.T,SAN.PA,9984.T,ALV.DE,CSL.AX,NPN.JO,GSK.L,005935.KQ,6861.T,OR.PA,388.HK,DAI.DE,CNR.TO,BNS.TO,939.HK,WBC.AX,BNP.PA,DPW.DE,SAN.MC,6098.T,ADS.DE,INFY.NS,NAB.AX,8306.T,2318.HK,KER.PA,4063.T,BMO.TO,JD,ADYEN.AS,ANZ.AX,BAYN.DE,ZURN.SW,7974.T,HDFC.NS,6594.T,8035.T,9433.T,000660.KS,CP.TO,4502.T,RKT.L,PRU.L,INGA.AS,7267.T,UBSG.SW,BIDU,DSV.CO,IFX.DE,PHIA.AS,1398.HK,EL.PA,LONN.SW,CS.PA,2454.TW,ATCOB.ST,CM.TO,LLOY.L,6981.T,2269.HK,NIO,REL.L,7741.T,8316.T,2317.TW,VOD.L,ISP.MI,4568.T,CRH.L,NG.L,BARC.L,GIVN.SW,PRX.AS,WES.AX,ERIC B.ST,D05.SI,VOLV B.ST,M4B.,ITX.MC,BN.PA,SBER.ME,VWS.CO,035420.KS,BBVA.MC,6954.T,RMS.PA,CPG.L,8411.T,MFC.TO,3382.T,MUV2.DE,NDA SE.ST,6702.T,LSEG.L,STLA.MI,NTR.TO,9983.T,PDD,MQG.AX,VNA.DE,EXPN.L,9434.T,6902.T,051910.KS,AHT.L,4661.T,4452.T,9432.T,DSM.AS,WCN.TO,2413.T,AMS.MC,FERG.L,KNEBV.HE,O39.SI,4503.T,1120.SR,8766.T,LR.PA,INVEA.ST,ASSA B.ST,DBK.DE,GMG.AX,VIV.PA,CLNX.MC,6326.T,PGHN.SW,ATD.B.TO,FNV.TO,SLF.TO,AD.AS,NOKIA.HE,006400.KS,4911.T,ALC.SW,MG.TO,DB1.DE,GEBN.SW,RACE.MI,6273.T,ML.PA,TCL.AX,3988.HK,FMG.AX,UCG.MI,1180.SR,BMW3.,WKL.AS,MRK.DE,035720.KS,AKZA.AS,6752.T,GMAB.CO,U11.SI,7751.T,669.HK,8750.T,HINDUNILVR.NS,NA.TO,4543.T,HM B.ST,SREN.SW,4519.T,STM.PA,6869.T,5108.T,8591.T,TEP.PA,068270.KS,AMXL.MX,TSCO.L,2313.HK,ESSITY B.ST,7733.T,9020.T,CSGN.SW,16.HK,TEF.MC,KBC.BR,8801.T,DNB.OL,2331.HK,1810.HK,601778.SS,NTES,ZAL.DE,BILI,4523.T,4901.T,2382.HK,BBDC4.SA,2020.HK,ITUB4.SA,GIB.A.TO,SAR.AX,COLO B.CO,DHER.DE,SAMPO.HE,8267.T,603236.SS,n/a,9618.HK,9022.T,2303.TW,BAJFINANCE.NS,7269.T,SEB A.ST,BBCA.JK,9999.HK,1925.T,2319.HK,SUM
10/29/2021,2.04,1.54,1.14,1.45,1.13,1.28,1.11,0.96,0.66,0.6,0.79,0.59,0.54,0.58,0.66,0.55,0.67,0.5,0.6,0.43,0.35,0.0,0.42,0.15,0.39,0.33,0.45,0.21,0.35,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.0,0.37,0.27,0.33,0.28,0.31,0.18,0.22,0.28,0.27,0.0,0.34,0.24,0.23,0.26,0.2,0.27,0.23,0.26,0.25,0.18,0.19,0.24,0.21,0.22,0.25,0.23,0.22,0.18,0.22,0.23,0.18,0.19,0.24,0.25,0.21,0.2,0.21,0.2,0.18,0.24,0.24,0.2,0.23,0.25,0.2,0.19,0.17,0.2,0.23,0.16,0.17,0.19,0.2,0.3,0.18,0.16,0.18,0.0,0.16,0.17,0.17,0.19,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.15,0.17,0.17,0.2,0.17,0.16,0.16,0.17,0.14,0.14,0.17,0.15,0.17,0.17,0.14,0.12,0.16,0.0,0.14,0.15,0.16,0.16,0.14,0.12,0.14,0.12,0.13,0.15,0.16,0.16,0.14,0.14,0.13,0.12,0.14,0.0,0.15,0.12,0.14,0.14,0.11,0.11,0.15,0.14,0.13,0.12,0.15,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.13,0.14,0.1,0.14,0.14,0.11,0.0,0.13,0.13,0.11,0.12,0.12,0.11,0.13,0.12,0.14,0.0,0.1,0.11,0.13,0.12,0.13,0.12,0.11,0.0,0.13,0.12,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.12,0.11,0.11,0.11,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.14,0.21,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,50.15000000000001
11/01/2021,2.04,1.54,1.14,1.45,1.13,1.28,1.11,0.96,0.66,0.6,0.79,0.59,0.54,0.58,0.66,0.55,0.67,0.5,0.6,0.43,0.35,0.0,0.42,0.15,0.39,0.33,0.45,0.21,0.35,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.0,0.37,0.27,0.33,0.28,0.31,0.18,0.22,0.28,0.27,0.0,0.34,0.24,0.23,0.26,0.2,0.27,0.23,0.26,0.25,0.18,0.19,0.24,0.21,0.22,0.25,0.23,0.22,0.18,0.22,0.23,0.18,0.19,0.24,0.25,0.21,0.2,0.21,0.2,0.18,0.24,0.24,0.2,0.23,0.25,0.2,0.19,0.17,0.2,0.23,0.16,0.17,0.19,0.2,0.3,0.18,0.16,0.18,0.0,0.16,0.17,0.17,0.19,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.15,0.17,0.17,0.2,0.17,0.16,0.16,0.17,0.14,0.14,0.17,0.15,0.17,0.17,0.14,0.12,0.16,0.0,0.14,0.15,0.16,0.16,0.14,0.12,0.14,0.12,0.13,0.15,0.16,0.16,0.14,0.14,0.13,0.12,0.14,0.0,0.15,0.12,0.14,0.14,0.11,0.11,0.15,0.14,0.13,0.12,0.15,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.13,0.14,0.1,0.14,0.14,0.11,0.0,0.13,0.13,0.11,0.12,0.12,0.11,0.13,0.12,0.14,0.0,0.1,0.11,0.13,0.12,0.13,0.12,0.11,0.0,0.13,0.12,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.12,0.11,0.11,0.11,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.14,0.21,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,50.15000000000001
11/02/2021,2.04,1.54,1.14,1.45,1.13,1.28,1.11,0.96,0.66,0.6,0.79,0.59,0.54,0.58,0.66,0.55,0.67,0.5,0.6,0.43,0.35,0.0,0.42,0.15,0.39,0.33,0.45,0.21,0.35,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.0,0.37,0.27,0.33,0.28,0.31,0.18,0.22,0.28,0.27,0.0,0.34,0.24,0.23,0.26,0.2,0.27,0.23,0.26,0.25,0.18,0.19,0.24,0.21,0.22,0.25,0.23,0.22,0.18,0.22,0.23,0.18,0.19,0.24,0.25,0.21,0.2,0.21,0.2,0.18,0.24,0.24,0.2,0.23,0.25,0.2,0.19,0.17,0.2,0.23,0.16,0.17,0.19,0.2,0.3,0.18,0.16,0.18,0.0,0.16,0.17,0.17,0.19,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.15,0.17,0.17,0.2,0.17,0.16,0.16,0.17,0.14,0.14,0.17,0.15,0.17,0.17,0.14,0.12,0.16,0.0,0.14,0.15,0.16,0.16,0.14,0.12,0.14,0.12,0.13,0.15,0.16,0.16,0.14,0.14,0.13,0.12,0.14,0.0,0.15,0.12,0.14,0.14,0.11,0.11,0.15,0.14,0.13,0.12,0.15,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.13,0.14,0.1,0.14,0.14,0.11,0.0,0.13,0.13,0.11,0.12,0.12,0.11,0.13,0.12,0.14,0.0,0.1,0.11,0.13,0.12,0.13,0.12,0.11,0.0,0.13,0.12,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.12,0.11,0.11,0.11,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.14,0.21,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,50.15000000000001
11/03/2021,2.04,1.54,1.14,1.45,1.13,1.28,1.11,0.96,0.66,0.6,0.79,0.59,0.54,0.58,0.66,0.55,0.67,0.5,0.6,0.43,0.35,0.0,0.42,0.15,0.39,0.33,0.45,0.21,0.35,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.0,0.37,0.27,0.33,0.28,0.31,0.18,0.22,0.28,0.27,0.0,0.34,0.24,0.23,0.26,0.2,0.27,0.23,0.26,0.25,0.18,0.19,0.24,0.21,0.22,0.25,0.23,0.22,0.18,0.22,0.23,0.18,0.19,0.24,0.25,0.21,0.2,0.21,0.2,0.18,0.24,0.24,0.2,0.23,0.25,0.2,0.19,0.17,0.2,0.23,0.16,0.17,0.19,0.2,0.3,0.18,0.16,0.18,0.0,0.16,0.17,0.17,0.19,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.15,0.17,0.17,0.2,0.17,0.16,0.16,0.17,0.14,0.14,0.17,0.15,0.17,0.17,0.14,0.12,0.16,0.0,0.14,0.15,0.16,0.16,0.14,0.12,0.14,0.12,0.13,0.15,0.16,0.16,0.14,0.14,0.13,0.12,0.14,0.0,0.15,0.12,0.14,0.14,0.11,0.11,0.15,0.14,0.13,0.12,0.15,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.13,0.14,0.1,0.14,0.14,0.11,0.0,0.13,0.13,0.11,0.12,0.12,0.11,0.13,0.12,0.14,0.0,0.1,0.11,0.13,0.12,0.13,0.12,0.11,0.0,0.13,0.12,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.12,0.11,0.11,0.11,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.14,0.21,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,50.15000000000001
11/04/2021,2.04,1.54,1.14,1.45,1.13,1.28,1.11,0.96,0.66,0.6,0.79,0.59,0.54,0.58,0.66,0.55,0.67,0.5,0.6,0.43,0.35,0.0,0.42,0.15,0.39,0.33,0.45,0.21,0.35,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.0,0.37,0.27,0.33,0.28,0.31,0.18,0.22,0.28,0.27,0.0,0.34,0.24,0.23,0.26,0.2,0.27,0.23,0.26,0.25,0.18,0.19,0.24,0.21,0.22,0.25,0.23,0.22,0.18,0.22,0.23,0.18,0.19,0.24,0.25,0.21,0.2,0.21,0.2,0.18,0.24,0.24,0.2,0.23,0.25,0.2,0.19,0.17,0.2,0.23,0.16,0.17,0.19,0.2,0.3,0.18,0.16,0.18,0.0,0.16,0.17,0.17,0.19,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.15,0.17,0.17,0.2,0.17,0.16,0.16,0.17,0.14,0.14,0.17,0.15,0.17,0.17,0.14,0.12,0.16,0.0,0.14,0.15,0.16,0.16,0.14,0.12,0.14,0.12,0.13,0.15,0.16,0.16,0.14,0.14,0.13,0.12,0.14,0.0,0.15,0.12,0.14,0.14,0.11,0.11,0.15,0.14,0.13,0.12,0.15,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.13,0.14,0.1,0.14,0.14,0.11,0.0,0.13,0.13,0.11,0.12,0.12,0.11,0.13,0.12,0.14,0.0,0.1,0.11,0.13,0.12,0.13,0.12,0.11,0.0,0.13,0.12,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.12,0.11,0.11,0.11,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.14,0.21,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,50.15000000000001
11/05/2021,2.04,1.54,1.14,1.45,1.13,1.28,1.11,0.96,0.66,0.6,0.79,0.59,0.54,0.58,0.66,0.55,0.67,0.5,0.6,0.43,0.35,0.0,0.42,0.15,0.39,0.33,0.45,0.21,0.35,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.0,0.37,0.27,0.33,0.28,0.31,0.18,0.22,0.28,0.27,0.0,0.34,0.24,0.23,0.26,0.2,0.27,0.23,0.26,0.25,0.18,0.19,0.24,0.21,0.22,0.25,0.23,0.22,0.18,0.22,0.23,0.18,0.19,0.24,0.25,0.21,0.2,0.21,0.2,0.18,0.24,0.24,0.2,0.23,0.25,0.2,0.19,0.17,0.2,0.23,0.16,0.17,0.19,0.2,0.3,0.18,0.16,0.18,0.0,0.16,0.17,0.17,0.19,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.15,0.17,0.17,0.2,0.17,0.16,0.16,0.17,0.14,0.14,0.17,0.15,0.17,0.17,0.14,0.12,0.16,0.0,0.14,0.15,0.16,0.16,0.14,0.12,0.14,0.12,0.13,0.15,0.16,0.16,0.14,0.14,0.13,0.12,0.14,0.0,0.15,0.12,0.14,0.14,0.11,0.11,0.15,0.14,0.13,0.12,0.15,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.13,0.14,0.1,0.14,0.14,0.11,0.0,0.13,0.13,0.11,0.12,0.12,0.11,0.13,0.12,0.14,0.0,0.1,0.11,0.13,0.12,0.13,0.12,0.11,0.0,0.13,0.12,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.12,0.11,0.11,0.11,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.14,0.21,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,50.15000000000001
11/08/2021,2.04,1.54,1.14,1.45,1.13,1.28,1.11,0.96,0.66,0.6,0.79,0.59,0.54,0.58,0.66,0.55,0.67,0.5,0.6,0.43,0.35,0.0,0.42,0.15,0.39,0.33,0.45,0.21,0.35,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.0,0.37,0.27,0.33,0.28,0.31,0.18,0.22,0.28,0.27,0.0,0.34,0.24,0.23,0.26,0.2,0.27,0.23,0.26,0.25,0.18,0.19,0.24,0.21,0.22,0.25,0.23,0.22,0.18,0.22,0.23,0.18,0.19,0.24,0.25,0.21,0.2,0.21,0.2,0.18,0.24,0.24,0.2,0.23,0.25,0.2,0.19,0.17,0.2,0.23,0.16,0.17,0.19,0.2,0.3,0.18,0.16,0.18,0.0,0.16,0.17,0.17,0.19,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.15,0.17,0.17,0.2,0.17,0.16,0.16,0.17,0.14,0.14,0.17,0.15,0.17,0.17,0.14,0.12,0.16,0.0,0.14,0.15,0.16,0.16,0.14,0.12,0.14,0.12,0.13,0.15,0.16,0.16,0.14,0.14,0.13,0.12,0.14,0.0,0.15,0.12,0.14,0.14,0.11,0.11,0.15,0.14,0.13,0.12,0.15,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.13,0.14,0.1,0.14,0.14,0.11,0.0,0.13,0.13,0.11,0.12,0.12,0.11,0.13,0.12,0.14,0.0,0.1,0.11,0.13,0.12,0.13,0.12,0.11,0.0,0.13,0.12,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.12,0.11,0.11,0.11,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.14,0.21,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,50.15000000000001
11/09/2021,2.04,1.54,1.14,1.45,1.13,1.28,1.11,0.96,0.66,0.6,0.79,0.59,0.54,0.58,0.66,0.55,0.67,0.5,0.6,0.43,0.35,0.0,0.42,0.15,0.39,0.33,0.45,0.21,0.35,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.0,0.37,0.27,0.33,0.28,0.31,0.18,0.22,0.28,0.27,0.0,0.34,0.24,0.23,0.26,0.2,0.27,0.23,0.26,0.25,0.18,0.19,0.24,0.21,0.22,0.25,0.23,0.22,0.18,0.22,0.23,0.18,0.19,0.24,0.25,0.21,0.2,0.21,0.2,0.18,0.24,0.24,0.2,0.23,0.25,0.2,0.19,0.17,0.2,0.23,0.16,0.17,0.19,0.2,0.3,0.18,0.16,0.18,0.0,0.16,0.17,0.17,0.19,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.15,0.17,0.17,0.2,0.17,0.16,0.16,0.17,0.14,0.14,0.17,0.15,0.17,0.17,0.14,0.12,0.16,0.0,0.14,0.15,0.16,0.16,0.14,0.12,0.14,0.12,0.13,0.15,0.16,0.16,0.14,0.14,0.13,0.12,0.14,0.0,0.15,0.12,0.14,0.14,0.11,0.11,0.15,0.14,0.13,0.12,0.15,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.13,0.14,0.1,0.14,0.14,0.11,0.0,0.13,0.13,0.11,0.12,0.12,0.11,0.13,0.12,0.14,0.0,0.1,0.11,0.13,0.12,0.13,0.12,0.11,0.0,0.13,0.12,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.12,0.11,0.11,0.11,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.14,0.21,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,50.15000000000001
11/10/2021,2.04,1.54,1.14,1.45,1.13,1.28,1.11,0.96,0.66,0.6,0.79,0.59,0.54,0.58,0.66,0.55,0.67,0.5,0.6,0.43,0.35,0.0,0.42,0.15,0.39,0.33,0.45,0.21,0.35,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.0,0.37,0.27,0.33,0.28,0.31,0.18,0.22,0.28,0.27,0.0,0.34,0.24,0.23,0.26,0.2,0.27,0.23,0.26,0.25,0.18,0.19,0.24,0.21,0.22,0.25,0.23,0.22,0.18,0.22,0.23,0.18,0.19,0.24,0.25,0.21,0.2,0.21,0.2,0.18,0.24,0.24,0.2,0.23,0.25,0.2,0.19,0.17,0.2,0.23,0.16,0.17,0.19,0.2,0.3,0.18,0.16,0.18,0.0,0.16,0.17,0.17,0.19,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.15,0.17,0.17,0.2,0.17,0.16,0.16,0.17,0.14,0.14,0.17,0.15,0.17,0.17,0.14,0.12,0.16,0.0,0.14,0.15,0.16,0.16,0.14,0.12,0.14,0.12,0.13,0.15,0.16,0.16,0.14,0.14,0.13,0.12,0.14,0.0,0.15,0.12,0.14,0.14,0.11,0.11,0.15,0.14,0.13,0.12,0.15,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.13,0.14,0.1,0.14,0.14,0.11,0.0,0.13,0.13,0.11,0.12,0.12,0.11,0.13,0.12,0.14,0.0,0.1,0.11,0.13,0.12,0.13,0.12,0.11,0.0,0.13,0.12,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.12,0.11,0.11,0.11,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.14,0.21,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,50.15000000000001
11/11/2021,2.04,1.54,1.14,1.45,1.13,1.28,1.11,0.96,0.66,0.6,0.79,0.59,0.54,0.58,0.66,0.55,0.67,0.5,0.6,0.43,0.35,0.0,0.42,0.15,0.39,0.33,0.45,0.21,0.35,0.32,0.3,0.3,0.29,0.29,0.29,0.28,0.0,0.37,0.27,0.33,0.28,0.31,0.18,0.22,0.28,0.27,0.0,0.34,0.24,0.23,0.26,0.2,0.27,0.23,0.26,0.25,0.18,0.19,0.24,0.21,0.22,0.25,0.23,0.22,0.18,0.22,0.23,0.18,0.19,0.24,0.25,0.21,0.2,0.21,0.2,0.18,0.24,0.24,0.2,0.23,0.25,0.2,0.19,0.17,0.2,0.23,0.16,0.17,0.19,0.2,0.3,0.18,0.16,0.18,0.0,0.16,0.17,0.17,0.19,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.15,0.17,0.17,0.2,0.17,0.16,0.16,0.17,0.14,0.14,0.17,0.15,0.17,0.17,0.14,0.12,0.16,0.0,0.14,0.15,0.16,0.16,0.14,0.12,0.14,0.12,0.13,0.15,0.16,0.16,0.14,0.14,0.13,0.12,0.14,0.0,0.15,0.12,0.14,0.14,0.11,0.11,0.15,0.14,0.13,0.12,0.15,0.0,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.13,0.14,0.1,0.14,0.14,0.11,0.0,0.13,0.13,0.11,0.12,0.12,0.11,0.13,0.12,0.14,0.0,0.1,0.11,0.13,0.12,0.13,0.12,0.11,0.0,0.13,0.12,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.12,0.11,0.11,0.11,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.14,0.21,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,50.15000000000001
