,700.HK,9988.HK,3690.HK,939.HK,NIO,JD,2318.HK,2269.HK,BIDU,PDD,1810.HK,NTES,1398.HK,M4B.,3988.HK,YUMC,2331.HK,2020.HK,600519.SS,BY6.,2382.HK,2313.HK,175.HK,2319.HK,BILI,TCOM,LI,BGNE,BEKE,2688.HK,6098.HK,CHL.,XPEV,HKD,1109.HK,1801.HK,ZTO,EDU,291.HK,ZLAB,SNPMF,1093.HK,300750.SZ,600036.SS,2333.HK,857.HK,000858.SZ,HTHT,1177.HK,960.HK,968.HK,TME,384.HK,1288.HK,688.HK,TAL,268.HK,VIPS,2601.HK,2007.HK,992.HK,1918.HK,241.HK,2899.HK,6186.HK,2359.HK,601318.SS,1088.HK,GDS,1919.HK,586.HK,6690.HK,6969.HK,267.HK,2328.HK,AQE.,1024.HK,788.HK,XTSLA,916.HK,881.HK,168.HK,1066.HK,4.HK,1193.HK,1658.HK,2202.HK,3328.HK,601888.SS,300760.SZ,6862.HK,3888.HK,6030.HK,2018.HK,3692.HK,853.HK,1833.HK,1548.HK,3323.HK,1772.HK,270.HK,600900.SS,601012.SS,285.HK,D7C.,1044.HK,603288.SS,322.HK,772.HK,002594.SZ,3908.HK,IQ,600809.SS,3606.HK,601166.SS,ATHM,2338.HK,000001.SZ,6185.HK,2196.HK,600309.SS,WB,603259.SS,656.HK,148.HK,1099.HK,6618.HK,600276.SS,867.HK,HCM,3898.HK,DQ,151.HK,135.HK,425.HK,YY,754.HK,002714.SZ,002475.SZ,1347.HK,1951.HK,300059.SZ,1579.HK,1268.HK,2013.HK,1378.HK,002304.SZ,9922.HK,3759.HK,300015.SZ,600436.SS,000568.SZ,1988.HK,836.HK,966.HK,3347.HK,2238.HK,002352.SZ,2128.HK,600000.SS,813.HK,601919.SS,601398.SS,QFIN,603501.SS,358.HK,JOBS,2600.HK,489.HK,IMAB,884.HK,600030.SS,780.HK,6110.HK,3333.HK,8083.HK,1339.HK,6060.HK,1336.HK,300122.SZ,3319.HK,000002.SZ,1516.HK,BZUN,696.HK,601899.SS,6881.HK,9926.HK,002142.SZ,257.HK,601816.SS,000725.SZ,1816.HK,600887.SS,1888.HK,002812.SZ,136.HK,1209.HK,3998.HK,ZTCOF,144.HK,000333.SZ,6837.HK,1585.HK,D7N.,1171.HK,300124.SZ,002371.SZ,6886.HK,1313.HK,9633.HK,MOMO,300014.SZ,002460.SZ,DIDI,CNH,600031.SS,688006.SS,2689.HK,601288.SS,1882.HK,873.HK,002493.SZ,UBFUT,1030.HK,603613.SS,1114.HK,3360.HK,601668.SS,600703.SS,1208.HK,600438.SS,371.HK,300274.SZ,2357.HK,6865.HK,1776.HK,392.HK,817.HK,600019.SS,902.HK,354.HK,RLX,600406.SS,390.HK,USD,2380.HK,n/a,2883.HK,3311.HK,CLV.,SUM
10/01/2021,12.85,10.88,4.81,2.47,1.76,2.42,1.64,2.14,1.58,1.44,1.49,1.26,1.13,1.11,1.02,0.91,0.94,0.74,0.8,0.92,0.71,0.62,0.64,0.76,0.4,0.57,0.52,0.62,0.23,0.46,0.39,0.43,0.49,0.15,0.48,0.43,0.49,0.11,0.4,0.29,0.45,0.41,0.41,0.36,0.42,0.39,0.3,0.31,0.31,0.29,0.36,0.18,0.32,0.32,0.32,0.0,0.32,0.19,0.29,0.28,0.29,0.18,0.2,0.26,0.22,0.27,0.2,0.29,0.18,0.19,0.29,0.27,0.3,0.23,0.23,0.24,0.11,0.21,0.21,0.3,0.18,0.16,0.17,0.16,0.19,0.2,0.16,0.18,0.17,0.17,0.14,0.14,0.21,0.12,0.11,0.15,0.11,0.19,0.21,0.18,0.13,0.17,0.15,0.09,0.14,0.12,0.13,0.14,0.11,0.17,0.16,0.08,0.14,0.13,0.13,0.12,0.16,0.12,0.11,0.1,0.12,0.11,0.14,0.11,0.12,0.13,0.12,0.11,0.09,0.11,0.09,0.11,0.13,0.16,0.1,0.11,0.08,0.09,0.09,0.1,0.08,0.13,0.1,0.11,0.1,0.11,0.1,0.09,0.12,0.1,0.08,0.11,0.08,0.23,0.09,0.1,0.09,0.11,0.0,0.09,0.08,0.08,0.1,0.0,0.08,0.08,0.08,0.11,0.09,0.08,0.08,0.1,0.09,0.0,0.0,0.0,0.09,0.08,0.08,0.09,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.11,0.0,0.0,0.1,0.08,0.0,0.09,0.0,0.1,0.09,0.09,0.1,0.09,0.09,0.0,0.0,0.12,0.0,0.0,0.08,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.08,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.08,0.0,0.16,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,86.33
10/04/2021,12.85,10.88,4.81,2.47,1.76,2.42,1.64,2.14,1.58,1.44,1.49,1.26,1.13,1.11,1.02,0.91,0.94,0.74,0.8,0.92,0.71,0.62,0.64,0.76,0.4,0.57,0.52,0.62,0.23,0.46,0.39,0.43,0.49,0.15,0.48,0.43,0.49,0.11,0.4,0.29,0.45,0.41,0.41,0.36,0.42,0.39,0.3,0.31,0.31,0.29,0.36,0.18,0.32,0.32,0.32,0.0,0.32,0.19,0.29,0.28,0.29,0.18,0.2,0.26,0.22,0.27,0.2,0.29,0.18,0.19,0.29,0.27,0.3,0.23,0.23,0.24,0.11,0.21,0.21,0.3,0.18,0.16,0.17,0.16,0.19,0.2,0.16,0.18,0.17,0.17,0.14,0.14,0.21,0.12,0.11,0.15,0.11,0.19,0.21,0.18,0.13,0.17,0.15,0.09,0.14,0.12,0.13,0.14,0.11,0.17,0.16,0.08,0.14,0.13,0.13,0.12,0.16,0.12,0.11,0.1,0.12,0.11,0.14,0.11,0.12,0.13,0.12,0.11,0.09,0.11,0.09,0.11,0.13,0.16,0.1,0.11,0.08,0.09,0.09,0.1,0.08,0.13,0.1,0.11,0.1,0.11,0.1,0.09,0.12,0.1,0.08,0.11,0.08,0.23,0.09,0.1,0.09,0.11,0.0,0.09,0.08,0.08,0.1,0.0,0.08,0.08,0.08,0.11,0.09,0.08,0.08,0.1,0.09,0.0,0.0,0.0,0.09,0.08,0.08,0.09,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.11,0.0,0.0,0.1,0.08,0.0,0.09,0.0,0.1,0.09,0.09,0.1,0.09,0.09,0.0,0.0,0.12,0.0,0.0,0.08,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.08,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.08,0.0,0.16,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,86.33
10/05/2021,12.81,10.77,4.81,2.56,1.78,2.32,1.64,2.16,1.57,1.45,1.51,1.22,1.16,1.16,1.04,0.91,0.96,0.76,0.8,0.91,0.71,0.65,0.64,0.76,0.39,0.56,0.52,0.62,0.24,0.47,0.4,0.44,0.5,0.0,0.49,0.43,0.5,0.11,0.4,0.3,0.44,0.41,0.41,0.37,0.42,0.37,0.3,0.31,0.31,0.3,0.37,0.17,0.33,0.32,0.32,0.0,0.32,0.19,0.3,0.29,0.29,0.18,0.21,0.25,0.22,0.27,0.2,0.28,0.19,0.18,0.29,0.27,0.3,0.24,0.24,0.24,0.1,0.21,0.23,0.3,0.18,0.16,0.17,0.17,0.19,0.21,0.16,0.18,0.17,0.17,0.14,0.14,0.21,0.12,0.11,0.14,0.11,0.17,0.2,0.17,0.13,0.18,0.15,0.09,0.15,0.12,0.14,0.14,0.11,0.16,0.16,0.08,0.15,0.13,0.14,0.12,0.16,0.12,0.1,0.1,0.12,0.11,0.14,0.11,0.12,0.13,0.12,0.11,0.09,0.12,0.09,0.11,0.13,0.15,0.1,0.11,0.08,0.09,0.09,0.1,0.08,0.12,0.1,0.11,0.1,0.11,0.1,0.09,0.12,0.1,0.08,0.11,0.08,0.21,0.09,0.1,0.09,0.11,0.0,0.1,0.08,0.0,0.1,0.0,0.08,0.08,0.08,0.11,0.09,0.09,0.08,0.1,0.09,0.0,0.0,0.0,0.1,0.08,0.08,0.09,0.0,0.08,0.0,0.0,0.0,0.08,0.08,0.0,0.08,0.11,0.0,0.0,0.1,0.08,0.0,0.09,0.0,0.1,0.09,0.09,0.1,0.09,0.09,0.0,0.0,0.11,0.0,0.0,0.08,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.15,0.1,0.0,0.0,0.0,0.08,0.15,0.0,0.0,0.0,86.42
10/06/2021,12.81,10.77,4.81,2.56,1.78,2.32,1.64,2.16,1.57,1.45,1.51,1.22,1.16,1.16,1.04,0.91,0.96,0.76,0.8,0.91,0.71,0.65,0.64,0.76,0.39,0.56,0.52,0.62,0.24,0.47,0.4,0.44,0.5,0.0,0.49,0.43,0.5,0.11,0.4,0.3,0.44,0.41,0.41,0.37,0.42,0.37,0.3,0.31,0.31,0.3,0.37,0.17,0.33,0.32,0.32,0.0,0.32,0.19,0.3,0.29,0.29,0.18,0.21,0.25,0.22,0.27,0.2,0.28,0.19,0.18,0.29,0.27,0.3,0.24,0.24,0.24,0.1,0.21,0.23,0.3,0.18,0.16,0.17,0.17,0.19,0.21,0.16,0.18,0.17,0.17,0.14,0.14,0.21,0.12,0.11,0.14,0.11,0.17,0.2,0.17,0.13,0.18,0.15,0.09,0.15,0.12,0.14,0.14,0.11,0.16,0.16,0.08,0.15,0.13,0.14,0.12,0.16,0.12,0.1,0.1,0.12,0.11,0.14,0.11,0.12,0.13,0.12,0.11,0.09,0.12,0.09,0.11,0.13,0.15,0.1,0.11,0.08,0.09,0.09,0.1,0.08,0.12,0.1,0.11,0.1,0.11,0.1,0.09,0.12,0.1,0.08,0.11,0.08,0.21,0.09,0.1,0.09,0.11,0.0,0.1,0.08,0.0,0.1,0.0,0.08,0.08,0.08,0.11,0.09,0.09,0.08,0.1,0.09,0.0,0.0,0.0,0.1,0.08,0.08,0.09,0.0,0.08,0.0,0.0,0.0,0.08,0.08,0.0,0.08,0.11,0.0,0.0,0.1,0.08,0.0,0.09,0.0,0.1,0.09,0.09,0.1,0.09,0.09,0.0,0.0,0.11,0.0,0.0,0.08,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.15,0.1,0.0,0.0,0.0,0.08,0.15,0.0,0.0,0.0,86.42
10/07/2021,12.72,10.34,4.75,2.57,1.79,2.27,1.6,2.17,1.56,1.44,1.47,1.25,1.16,1.15,1.05,0.91,0.99,0.77,0.81,0.93,0.7,0.66,0.64,0.77,0.4,0.59,0.53,0.61,0.25,0.48,0.43,0.44,0.51,0.0,0.51,0.43,0.49,0.12,0.41,0.29,0.44,0.41,0.43,0.37,0.42,0.37,0.3,0.31,0.32,0.31,0.37,0.18,0.34,0.33,0.32,0.0,0.32,0.18,0.3,0.29,0.29,0.21,0.21,0.26,0.23,0.28,0.2,0.3,0.18,0.19,0.29,0.28,0.31,0.23,0.24,0.24,0.1,0.21,0.24,0.31,0.18,0.16,0.17,0.17,0.19,0.21,0.17,0.19,0.18,0.18,0.14,0.14,0.21,0.12,0.11,0.13,0.11,0.17,0.2,0.18,0.14,0.18,0.15,0.09,0.15,0.12,0.14,0.14,0.11,0.17,0.16,0.08,0.15,0.13,0.14,0.13,0.15,0.12,0.1,0.1,0.12,0.11,0.15,0.11,0.12,0.13,0.12,0.11,0.09,0.11,0.09,0.12,0.13,0.15,0.1,0.11,0.08,0.1,0.09,0.1,0.0,0.13,0.1,0.11,0.1,0.11,0.1,0.09,0.12,0.1,0.09,0.11,0.09,0.21,0.09,0.1,0.09,0.11,0.0,0.1,0.08,0.08,0.1,0.0,0.08,0.08,0.08,0.11,0.09,0.09,0.08,0.1,0.09,0.0,0.0,0.0,0.1,0.08,0.09,0.09,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.11,0.0,0.0,0.1,0.08,0.0,0.1,0.0,0.11,0.08,0.09,0.1,0.09,0.09,0.0,0.0,0.11,0.0,0.0,0.08,0.09,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.09,0.08,0.0,0.0,0.16,0.1,0.0,0.0,0.0,0.08,0.15,0.0,0.0,0.0,86.25
10/08/2021,12.72,10.34,4.75,2.57,1.79,2.27,1.6,2.17,1.56,1.44,1.47,1.25,1.16,1.15,1.05,0.91,0.99,0.77,0.81,0.93,0.7,0.66,0.64,0.77,0.4,0.59,0.53,0.61,0.25,0.48,0.43,0.44,0.51,0.0,0.51,0.43,0.49,0.12,0.41,0.29,0.44,0.41,0.43,0.37,0.42,0.37,0.3,0.31,0.32,0.31,0.37,0.18,0.34,0.33,0.32,0.0,0.32,0.18,0.3,0.29,0.29,0.21,0.21,0.26,0.23,0.28,0.2,0.3,0.18,0.19,0.29,0.28,0.31,0.23,0.24,0.24,0.1,0.21,0.24,0.31,0.18,0.16,0.17,0.17,0.19,0.21,0.17,0.19,0.18,0.18,0.14,0.14,0.21,0.12,0.11,0.13,0.11,0.17,0.2,0.18,0.14,0.18,0.15,0.09,0.15,0.12,0.14,0.14,0.11,0.17,0.16,0.08,0.15,0.13,0.14,0.13,0.15,0.12,0.1,0.1,0.12,0.11,0.15,0.11,0.12,0.13,0.12,0.11,0.09,0.11,0.09,0.12,0.13,0.15,0.1,0.11,0.08,0.1,0.09,0.1,0.0,0.13,0.1,0.11,0.1,0.11,0.1,0.09,0.12,0.1,0.09,0.11,0.09,0.21,0.09,0.1,0.09,0.11,0.0,0.1,0.08,0.08,0.1,0.0,0.08,0.08,0.08,0.11,0.09,0.09,0.08,0.1,0.09,0.0,0.0,0.0,0.1,0.08,0.09,0.09,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.11,0.0,0.0,0.1,0.08,0.0,0.1,0.0,0.11,0.08,0.09,0.1,0.09,0.09,0.0,0.0,0.11,0.0,0.0,0.08,0.09,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.09,0.08,0.0,0.0,0.16,0.1,0.0,0.0,0.0,0.08,0.15,0.0,0.0,0.0,86.25
10/11/2021,12.62,10.24,4.52,2.59,1.75,2.39,1.62,2.04,1.58,1.5,1.45,1.36,1.18,1.11,1.06,0.94,0.95,0.72,0.83,0.94,0.67,0.62,0.63,0.74,0.4,0.61,0.57,0.59,0.24,0.47,0.41,0.45,0.53,0.0,0.51,0.43,0.51,0.13,0.39,0.29,0.47,0.41,0.44,0.37,0.42,0.43,0.31,0.33,0.29,0.31,0.34,0.18,0.32,0.33,0.32,0.0,0.32,0.18,0.3,0.29,0.33,0.19,0.2,0.25,0.23,0.28,0.2,0.31,0.19,0.18,0.3,0.29,0.3,0.23,0.25,0.25,0.1,0.21,0.24,0.3,0.18,0.16,0.17,0.18,0.18,0.2,0.17,0.19,0.18,0.18,0.13,0.13,0.21,0.12,0.11,0.13,0.11,0.17,0.2,0.19,0.14,0.18,0.16,0.09,0.15,0.12,0.14,0.14,0.11,0.18,0.16,0.08,0.15,0.12,0.14,0.13,0.15,0.12,0.09,0.09,0.13,0.11,0.15,0.11,0.12,0.13,0.11,0.11,0.09,0.11,0.09,0.12,0.14,0.15,0.11,0.11,0.09,0.1,0.09,0.1,0.0,0.13,0.09,0.11,0.1,0.11,0.1,0.09,0.12,0.1,0.09,0.12,0.09,0.21,0.1,0.1,0.09,0.11,0.0,0.1,0.0,0.08,0.11,0.0,0.09,0.08,0.08,0.11,0.09,0.09,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.09,0.09,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.12,0.0,0.0,0.11,0.08,0.0,0.1,0.0,0.11,0.08,0.09,0.1,0.09,0.09,0.0,0.0,0.12,0.0,0.0,0.08,0.09,0.08,0.0,0.0,0.0,0.09,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.14,0.09,0.0,0.0,0.0,0.08,0.16,0.08,0.0,0.0,86.02
10/12/2021,12.85,10.59,4.78,2.51,1.8,2.44,1.67,2.02,1.6,1.53,1.45,1.42,1.16,1.09,1.03,0.92,0.93,0.7,0.8,0.94,0.67,0.61,0.62,0.72,0.42,0.59,0.57,0.61,0.25,0.46,0.41,0.44,0.54,0.0,0.49,0.43,0.5,0.12,0.39,0.29,0.46,0.4,0.43,0.36,0.42,0.4,0.3,0.31,0.28,0.3,0.34,0.18,0.31,0.32,0.32,0.0,0.32,0.18,0.3,0.28,0.31,0.19,0.21,0.25,0.23,0.27,0.19,0.3,0.2,0.18,0.29,0.28,0.3,0.22,0.24,0.24,0.11,0.2,0.23,0.28,0.17,0.16,0.17,0.17,0.18,0.2,0.17,0.19,0.18,0.18,0.13,0.14,0.2,0.12,0.11,0.13,0.11,0.18,0.2,0.19,0.13,0.18,0.15,0.09,0.15,0.12,0.14,0.14,0.11,0.17,0.15,0.09,0.14,0.11,0.13,0.13,0.15,0.12,0.09,0.09,0.12,0.11,0.15,0.11,0.12,0.13,0.12,0.11,0.09,0.11,0.09,0.12,0.13,0.14,0.11,0.11,0.09,0.09,0.09,0.1,0.08,0.13,0.09,0.11,0.1,0.11,0.09,0.09,0.11,0.1,0.09,0.11,0.09,0.21,0.09,0.1,0.09,0.1,0.0,0.09,0.08,0.08,0.1,0.0,0.08,0.08,0.08,0.11,0.09,0.09,0.08,0.1,0.09,0.0,0.0,0.0,0.1,0.0,0.09,0.09,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.11,0.0,0.0,0.11,0.08,0.0,0.1,0.0,0.11,0.08,0.09,0.1,0.09,0.09,0.0,0.0,0.12,0.0,0.0,0.08,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.14,0.1,0.0,0.0,0.0,0.08,0.16,0.0,0.08,0.0,86.35000000000001
10/13/2021,12.85,10.59,4.78,2.51,1.8,2.44,1.67,2.02,1.6,1.53,1.45,1.42,1.16,1.09,1.03,0.92,0.93,0.7,0.8,0.94,0.67,0.61,0.62,0.72,0.42,0.59,0.57,0.61,0.25,0.46,0.41,0.44,0.54,0.0,0.49,0.43,0.5,0.12,0.39,0.29,0.46,0.4,0.43,0.36,0.42,0.4,0.3,0.31,0.28,0.3,0.34,0.18,0.31,0.32,0.32,0.0,0.32,0.18,0.3,0.28,0.31,0.19,0.21,0.25,0.23,0.27,0.19,0.3,0.2,0.18,0.29,0.28,0.3,0.22,0.24,0.24,0.11,0.2,0.23,0.28,0.17,0.16,0.17,0.17,0.18,0.2,0.17,0.19,0.18,0.18,0.13,0.14,0.2,0.12,0.11,0.13,0.11,0.18,0.2,0.19,0.13,0.18,0.15,0.09,0.15,0.12,0.14,0.14,0.11,0.17,0.15,0.09,0.14,0.11,0.13,0.13,0.15,0.12,0.09,0.09,0.12,0.11,0.15,0.11,0.12,0.13,0.12,0.11,0.09,0.11,0.09,0.12,0.13,0.14,0.11,0.11,0.09,0.09,0.09,0.1,0.08,0.13,0.09,0.11,0.1,0.11,0.09,0.09,0.11,0.1,0.09,0.11,0.09,0.21,0.09,0.1,0.09,0.1,0.0,0.09,0.08,0.08,0.1,0.0,0.08,0.08,0.08,0.11,0.09,0.09,0.08,0.1,0.09,0.0,0.0,0.0,0.1,0.0,0.09,0.09,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.11,0.0,0.0,0.11,0.08,0.0,0.1,0.0,0.11,0.08,0.09,0.1,0.09,0.09,0.0,0.0,0.12,0.0,0.0,0.08,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.14,0.1,0.0,0.0,0.0,0.08,0.16,0.0,0.08,0.0,86.35000000000001
10/14/2021,12.85,10.59,4.78,2.51,1.8,2.44,1.67,2.02,1.6,1.53,1.45,1.42,1.16,1.09,1.03,0.92,0.93,0.7,0.8,0.94,0.67,0.61,0.62,0.72,0.42,0.59,0.57,0.61,0.25,0.46,0.41,0.44,0.54,0.0,0.49,0.43,0.5,0.12,0.39,0.29,0.46,0.4,0.43,0.36,0.42,0.4,0.3,0.31,0.28,0.3,0.34,0.18,0.31,0.32,0.32,0.0,0.32,0.18,0.3,0.28,0.31,0.19,0.21,0.25,0.23,0.27,0.19,0.3,0.2,0.18,0.29,0.28,0.3,0.22,0.24,0.24,0.11,0.2,0.23,0.28,0.17,0.16,0.17,0.17,0.18,0.2,0.17,0.19,0.18,0.18,0.13,0.14,0.2,0.12,0.11,0.13,0.11,0.18,0.2,0.19,0.13,0.18,0.15,0.09,0.15,0.12,0.14,0.14,0.11,0.17,0.15,0.09,0.14,0.11,0.13,0.13,0.15,0.12,0.09,0.09,0.12,0.11,0.15,0.11,0.12,0.13,0.12,0.11,0.09,0.11,0.09,0.12,0.13,0.14,0.11,0.11,0.09,0.09,0.09,0.1,0.08,0.13,0.09,0.11,0.1,0.11,0.09,0.09,0.11,0.1,0.09,0.11,0.09,0.21,0.09,0.1,0.09,0.1,0.0,0.09,0.08,0.08,0.1,0.0,0.08,0.08,0.08,0.11,0.09,0.09,0.08,0.1,0.09,0.0,0.0,0.0,0.1,0.0,0.09,0.09,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.11,0.0,0.0,0.11,0.08,0.0,0.1,0.0,0.11,0.08,0.09,0.1,0.09,0.09,0.0,0.0,0.12,0.0,0.0,0.08,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.14,0.1,0.0,0.0,0.0,0.08,0.16,0.0,0.08,0.0,86.35000000000001
10/15/2021,13.02,11.08,4.84,2.47,1.78,2.49,1.7,1.88,1.64,1.54,1.42,1.41,1.15,1.1,1.01,0.91,0.87,0.67,0.8,0.92,0.67,0.6,0.62,0.71,0.42,0.0,0.56,0.61,0.25,0.44,0.42,0.45,0.53,0.0,0.49,0.43,0.5,0.12,0.4,0.28,0.45,0.39,0.43,0.36,0.43,0.4,0.31,0.32,0.29,0.29,0.33,0.19,0.3,0.32,0.31,0.0,0.31,0.19,0.31,0.28,0.3,0.18,0.21,0.25,0.22,0.26,0.21,0.28,0.19,0.18,0.29,0.28,0.28,0.22,0.24,0.24,0.1,0.2,0.24,0.26,0.17,0.16,0.17,0.17,0.18,0.2,0.16,0.18,0.18,0.17,0.13,0.14,0.21,0.1,0.11,0.12,0.11,0.16,0.19,0.18,0.13,0.17,0.14,0.09,0.14,0.12,0.14,0.14,0.11,0.17,0.15,0.09,0.15,0.11,0.13,0.14,0.15,0.12,0.08,0.09,0.12,0.11,0.14,0.11,0.12,0.13,0.12,0.12,0.09,0.1,0.09,0.12,0.13,0.14,0.11,0.11,0.09,0.1,0.09,0.1,0.08,0.12,0.09,0.11,0.1,0.1,0.1,0.08,0.11,0.1,0.09,0.11,0.09,0.18,0.09,0.1,0.09,0.11,0.0,0.09,0.08,0.0,0.1,0.0,0.08,0.08,0.08,0.1,0.09,0.08,0.08,0.1,0.09,0.0,0.0,0.0,0.1,0.0,0.09,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.11,0.0,0.0,0.1,0.09,0.0,0.09,0.0,0.1,0.08,0.09,0.1,0.09,0.09,0.0,0.0,0.1,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.09,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.08,0.07,0.08,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.14,0.1,0.0,0.0,0.0,0.0,0.16,0.07,0.08,0.59,86.42
10/18/2021,13.02,11.08,4.84,2.47,1.78,2.49,1.7,1.88,1.64,1.54,1.42,1.41,1.15,1.1,1.01,0.91,0.87,0.67,0.8,0.92,0.67,0.6,0.62,0.71,0.42,0.0,0.56,0.61,0.25,0.44,0.42,0.45,0.53,0.0,0.49,0.43,0.5,0.12,0.4,0.28,0.45,0.39,0.43,0.36,0.43,0.4,0.31,0.32,0.29,0.29,0.33,0.19,0.3,0.32,0.31,0.0,0.31,0.19,0.31,0.28,0.3,0.18,0.21,0.25,0.22,0.26,0.21,0.28,0.19,0.18,0.29,0.28,0.28,0.22,0.24,0.24,0.1,0.2,0.24,0.26,0.17,0.16,0.17,0.17,0.18,0.2,0.16,0.18,0.18,0.17,0.13,0.14,0.21,0.1,0.11,0.12,0.11,0.16,0.19,0.18,0.13,0.17,0.14,0.09,0.14,0.12,0.14,0.14,0.11,0.17,0.15,0.09,0.15,0.11,0.13,0.14,0.15,0.12,0.08,0.09,0.12,0.11,0.14,0.11,0.12,0.13,0.12,0.12,0.09,0.1,0.09,0.12,0.13,0.14,0.11,0.11,0.09,0.1,0.09,0.1,0.08,0.12,0.09,0.11,0.1,0.1,0.1,0.08,0.11,0.1,0.09,0.11,0.09,0.18,0.09,0.1,0.09,0.11,0.0,0.09,0.08,0.0,0.1,0.0,0.08,0.08,0.08,0.1,0.09,0.08,0.08,0.1,0.09,0.0,0.0,0.0,0.1,0.0,0.09,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.11,0.0,0.0,0.1,0.09,0.0,0.09,0.0,0.1,0.08,0.09,0.1,0.09,0.09,0.0,0.0,0.1,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.09,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.08,0.07,0.08,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.14,0.1,0.0,0.0,0.0,0.0,0.16,0.07,0.08,0.59,86.42
