,CROX,SAIA,OMCL,GME,GTLS,POWI,NEO,EXPO,IIPR,ENSG,BCPC,MTH,VIAV,LGIH,MED,AEIS,LCII,ALRM,MSTR,ONTO,LPSN,STMP,EXLS,SHAK,WDFC,SPSC,SFBS,VG,FELE,KWR,DIOD,RCII,FIX,TRUP,WD,MMSI,DORM,EPRT,LTHM,SNBR,MATX,JBT,BMI,IRBT,FORM,REGI,AAON,IBP,FWRD,PCRX,AMN,EVTC,VCEL,ROCK,MXL,FSS,VSTO,EGHT,UFPI,PRLB,UCTT,AVAV,COOP,AX,MDRX,WTS,PRFT,CCS,AIT,CORT,HI,CNMD,ADC,XNCR,SEM,ITRI,GDOT,GKOS,NMIH,BIG,FN,CBU,ELY,CCOI,SSTK,VRTS,RRC,ARNC,BGS,TTEC,HSKA,AVNS,VICR,SWN,PATK,TBK,MDC,ROG,FUL,MODV,PRAA,CELH,COHU,UNF,CYH,DDD,OMI,EHTH,CWT,TTGT,CVET,ACA,SPXC,PLXS,SHEN,UNIT,MANT,LMNX,PLMR,AWR,DIN,SUPN,KLIC,THRM,AJRD,SCL,CYTK,ALG,EAT,JOE,ESE,MTDR,ADUS,PGTI,ALGT,XPER,KFY,HIBB,AIN,KTB,BOOT,BSIG,SMPL,FLGT,FBC,PRGS,WGO,TUP,SHOO,LXP,RGNX,CENTA,MLAB,ITGR,FCPT,FIZZ,CVBF,WWW,CTRE,HZO,JJSF,UNFI,SNEX,FLOW,CVCO,PIPR,BRC,LNN,MD,CHCT,MLI,TCMD,AGYS,CEVA,CPK,SAFE,MOG.A,MRTN,PRK,LZB,TRHC,INDB,CASH,IOSP,ASTE,JYNT,RMBS,ACLS,PSMT,VIVO,QNST,OSPN,RILY,VGR,EPAY,PNTG,CAKE,LMAT,RGR,OSIS,BOOM,POLY,CHRS,IRT,BCEI,MYRG,INVA,RAVN,COLL,USPH,n/a,BLFS,CRVL,MSEX,NXRT,AMEH,LGND,SLQT,CALM,TREE,CIVI,OPRX,CDMO,TBBK,HCI,NBHC,EBS,COKE,CSGS,CSR,SUM
09/17/2021,0.0,1.22,1.29,0.86,1.13,1.2,1.11,1.14,1.05,0.9,0.89,0.84,0.78,0.77,0.69,0.82,0.75,0.77,1.0,0.7,0.84,1.22,0.77,0.75,0.68,0.8,0.68,0.69,0.65,0.68,0.71,0.7,0.55,0.79,0.63,0.71,0.59,0.72,0.64,0.5,0.6,0.58,0.6,0.5,0.59,0.6,0.52,0.55,0.49,0.53,0.61,0.54,0.5,0.5,0.68,0.49,0.48,0.57,0.48,0.44,0.48,0.46,0.52,0.5,0.49,0.55,0.64,0.42,0.43,0.45,0.46,0.46,0.52,0.37,0.44,0.47,0.51,0.31,0.39,0.38,0.44,0.37,0.0,0.42,0.49,0.41,0.46,0.4,0.38,0.39,0.49,0.37,0.5,0.36,0.38,0.36,0.36,0.39,0.35,0.42,0.36,0.46,0.35,0.35,0.34,0.33,0.37,0.28,0.38,0.35,0.31,0.29,0.36,0.3,0.35,0.36,0.33,0.0,0.36,0.36,0.27,0.29,0.34,0.37,0.32,0.28,0.5,0.3,0.27,0.29,0.3,0.3,0.27,0.28,0.25,0.28,0.3,0.29,0.27,0.24,0.31,0.3,0.29,0.33,0.27,0.27,0.25,0.21,0.27,0.27,0.23,0.21,0.29,0.26,0.25,0.22,0.2,0.22,0.24,0.24,0.22,0.2,0.22,0.27,0.24,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.23,0.23,0.23,0.27,0.18,0.19,0.18,0.0,0.2,0.17,0.18,0.17,0.17,0.21,0.23,0.17,0.19,0.18,0.19,0.17,0.0,0.17,0.19,0.18,0.0,0.19,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.18,0.18,0.18,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33000000000001
09/20/2021,0.0,0.0,1.36,0.0,1.36,1.34,1.16,1.24,1.19,0.86,0.92,0.86,0.76,0.71,0.54,0.7,0.73,0.78,1.1,0.74,0.83,1.22,0.84,0.64,0.67,0.99,0.7,0.68,0.67,0.7,0.83,0.76,0.56,0.63,0.67,0.72,0.54,0.77,0.81,0.46,0.7,0.57,0.63,0.46,0.61,0.47,0.57,0.57,0.49,0.53,0.69,0.56,0.51,0.49,0.73,0.5,0.48,0.54,0.48,0.42,0.41,0.47,0.54,0.51,0.44,0.62,0.8,0.42,0.43,0.45,0.47,0.43,0.52,0.4,0.39,0.4,0.58,0.36,0.39,0.32,0.48,0.38,0.0,0.39,0.52,0.46,0.44,0.38,0.4,0.39,0.53,0.32,0.53,0.34,0.37,0.38,0.35,0.43,0.37,0.49,0.39,0.55,0.35,0.37,0.31,0.36,0.3,0.21,0.39,0.41,0.27,0.27,0.33,0.3,0.2,0.4,0.3,0.0,0.4,0.37,0.29,0.3,0.43,0.38,0.28,0.28,0.55,0.31,0.27,0.29,0.28,0.28,0.28,0.26,0.25,0.29,0.31,0.31,0.24,0.23,0.32,0.33,0.27,0.33,0.29,0.27,0.24,0.24,0.25,0.27,0.23,0.2,0.26,0.26,0.25,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.26,0.21,0.22,0.22,0.23,0.21,0.18,0.24,0.22,0.24,0.26,0.18,0.19,0.19,0.0,0.0,0.19,0.18,0.18,0.17,0.27,0.23,0.22,0.18,0.18,0.18,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.17,0.18,0.0,0.0,0.22,0.21,0.0,0.2,0.2,0.18,0.0,0.17,0.41,0.37,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73
09/21/2021,0.0,0.0,1.36,0.0,1.36,1.34,1.16,1.24,1.19,0.86,0.92,0.86,0.76,0.71,0.54,0.7,0.73,0.78,1.1,0.74,0.83,1.22,0.84,0.64,0.67,0.99,0.7,0.68,0.67,0.7,0.83,0.76,0.56,0.63,0.67,0.72,0.54,0.77,0.81,0.46,0.7,0.57,0.63,0.46,0.61,0.47,0.57,0.57,0.49,0.53,0.69,0.56,0.51,0.49,0.73,0.5,0.48,0.54,0.48,0.42,0.41,0.47,0.54,0.51,0.44,0.62,0.8,0.42,0.43,0.45,0.47,0.43,0.52,0.4,0.39,0.4,0.58,0.36,0.39,0.32,0.48,0.38,0.0,0.39,0.52,0.46,0.44,0.38,0.4,0.39,0.53,0.32,0.53,0.34,0.37,0.38,0.35,0.43,0.37,0.49,0.39,0.55,0.35,0.37,0.31,0.36,0.3,0.21,0.39,0.41,0.27,0.27,0.33,0.3,0.2,0.4,0.3,0.0,0.4,0.37,0.29,0.3,0.43,0.38,0.28,0.28,0.55,0.31,0.27,0.29,0.28,0.28,0.28,0.26,0.25,0.29,0.31,0.31,0.24,0.23,0.32,0.33,0.27,0.33,0.29,0.27,0.24,0.24,0.25,0.27,0.23,0.2,0.26,0.26,0.25,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.26,0.21,0.22,0.22,0.23,0.21,0.18,0.24,0.22,0.24,0.26,0.18,0.19,0.19,0.0,0.0,0.19,0.18,0.18,0.17,0.27,0.23,0.22,0.18,0.18,0.18,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.17,0.18,0.0,0.0,0.22,0.21,0.0,0.2,0.2,0.18,0.0,0.17,0.41,0.37,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73
09/22/2021,0.0,0.0,1.36,0.0,1.36,1.34,1.16,1.24,1.19,0.86,0.92,0.86,0.76,0.71,0.54,0.7,0.73,0.78,1.1,0.74,0.83,1.22,0.84,0.64,0.67,0.99,0.7,0.68,0.67,0.7,0.83,0.76,0.56,0.63,0.67,0.72,0.54,0.77,0.81,0.46,0.7,0.57,0.63,0.46,0.61,0.47,0.57,0.57,0.49,0.53,0.69,0.56,0.51,0.49,0.73,0.5,0.48,0.54,0.48,0.42,0.41,0.47,0.54,0.51,0.44,0.62,0.8,0.42,0.43,0.45,0.47,0.43,0.52,0.4,0.39,0.4,0.58,0.36,0.39,0.32,0.48,0.38,0.0,0.39,0.52,0.46,0.44,0.38,0.4,0.39,0.53,0.32,0.53,0.34,0.37,0.38,0.35,0.43,0.37,0.49,0.39,0.55,0.35,0.37,0.31,0.36,0.3,0.21,0.39,0.41,0.27,0.27,0.33,0.3,0.2,0.4,0.3,0.0,0.4,0.37,0.29,0.3,0.43,0.38,0.28,0.28,0.55,0.31,0.27,0.29,0.28,0.28,0.28,0.26,0.25,0.29,0.31,0.31,0.24,0.23,0.32,0.33,0.27,0.33,0.29,0.27,0.24,0.24,0.25,0.27,0.23,0.2,0.26,0.26,0.25,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.26,0.21,0.22,0.22,0.23,0.21,0.18,0.24,0.22,0.24,0.26,0.18,0.19,0.19,0.0,0.0,0.19,0.18,0.18,0.17,0.27,0.23,0.22,0.18,0.18,0.18,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.17,0.18,0.0,0.0,0.22,0.21,0.0,0.2,0.2,0.18,0.0,0.17,0.41,0.37,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73
09/23/2021,0.0,0.0,1.36,0.0,1.36,1.34,1.16,1.24,1.19,0.86,0.92,0.86,0.76,0.71,0.54,0.7,0.73,0.78,1.1,0.74,0.83,1.22,0.84,0.64,0.67,0.99,0.7,0.68,0.67,0.7,0.83,0.76,0.56,0.63,0.67,0.72,0.54,0.77,0.81,0.46,0.7,0.57,0.63,0.46,0.61,0.47,0.57,0.57,0.49,0.53,0.69,0.56,0.51,0.49,0.73,0.5,0.48,0.54,0.48,0.42,0.41,0.47,0.54,0.51,0.44,0.62,0.8,0.42,0.43,0.45,0.47,0.43,0.52,0.4,0.39,0.4,0.58,0.36,0.39,0.32,0.48,0.38,0.0,0.39,0.52,0.46,0.44,0.38,0.4,0.39,0.53,0.32,0.53,0.34,0.37,0.38,0.35,0.43,0.37,0.49,0.39,0.55,0.35,0.37,0.31,0.36,0.3,0.21,0.39,0.41,0.27,0.27,0.33,0.3,0.2,0.4,0.3,0.0,0.4,0.37,0.29,0.3,0.43,0.38,0.28,0.28,0.55,0.31,0.27,0.29,0.28,0.28,0.28,0.26,0.25,0.29,0.31,0.31,0.24,0.23,0.32,0.33,0.27,0.33,0.29,0.27,0.24,0.24,0.25,0.27,0.23,0.2,0.26,0.26,0.25,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.26,0.21,0.22,0.22,0.23,0.21,0.18,0.24,0.22,0.24,0.26,0.18,0.19,0.19,0.0,0.0,0.19,0.18,0.18,0.17,0.27,0.23,0.22,0.18,0.18,0.18,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.17,0.18,0.0,0.0,0.22,0.21,0.0,0.2,0.2,0.18,0.0,0.17,0.41,0.37,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73
09/24/2021,0.0,0.0,1.36,0.0,1.36,1.34,1.16,1.24,1.19,0.86,0.92,0.86,0.76,0.71,0.54,0.7,0.73,0.78,1.1,0.74,0.83,1.22,0.84,0.64,0.67,0.99,0.7,0.68,0.67,0.7,0.83,0.76,0.56,0.63,0.67,0.72,0.54,0.77,0.81,0.46,0.7,0.57,0.63,0.46,0.61,0.47,0.57,0.57,0.49,0.53,0.69,0.56,0.51,0.49,0.73,0.5,0.48,0.54,0.48,0.42,0.41,0.47,0.54,0.51,0.44,0.62,0.8,0.42,0.43,0.45,0.47,0.43,0.52,0.4,0.39,0.4,0.58,0.36,0.39,0.32,0.48,0.38,0.0,0.39,0.52,0.46,0.44,0.38,0.4,0.39,0.53,0.32,0.53,0.34,0.37,0.38,0.35,0.43,0.37,0.49,0.39,0.55,0.35,0.37,0.31,0.36,0.3,0.21,0.39,0.41,0.27,0.27,0.33,0.3,0.2,0.4,0.3,0.0,0.4,0.37,0.29,0.3,0.43,0.38,0.28,0.28,0.55,0.31,0.27,0.29,0.28,0.28,0.28,0.26,0.25,0.29,0.31,0.31,0.24,0.23,0.32,0.33,0.27,0.33,0.29,0.27,0.24,0.24,0.25,0.27,0.23,0.2,0.26,0.26,0.25,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.26,0.21,0.22,0.22,0.23,0.21,0.18,0.24,0.22,0.24,0.26,0.18,0.19,0.19,0.0,0.0,0.19,0.18,0.18,0.17,0.27,0.23,0.22,0.18,0.18,0.18,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.17,0.18,0.0,0.0,0.22,0.21,0.0,0.2,0.2,0.18,0.0,0.17,0.41,0.37,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73
09/27/2021,0.0,0.0,1.36,0.0,1.36,1.34,1.16,1.24,1.19,0.86,0.92,0.86,0.76,0.71,0.54,0.7,0.73,0.78,1.1,0.74,0.83,1.22,0.84,0.64,0.67,0.99,0.7,0.68,0.67,0.7,0.83,0.76,0.56,0.63,0.67,0.72,0.54,0.77,0.81,0.46,0.7,0.57,0.63,0.46,0.61,0.47,0.57,0.57,0.49,0.53,0.69,0.56,0.51,0.49,0.73,0.5,0.48,0.54,0.48,0.42,0.41,0.47,0.54,0.51,0.44,0.62,0.8,0.42,0.43,0.45,0.47,0.43,0.52,0.4,0.39,0.4,0.58,0.36,0.39,0.32,0.48,0.38,0.0,0.39,0.52,0.46,0.44,0.38,0.4,0.39,0.53,0.32,0.53,0.34,0.37,0.38,0.35,0.43,0.37,0.49,0.39,0.55,0.35,0.37,0.31,0.36,0.3,0.21,0.39,0.41,0.27,0.27,0.33,0.3,0.2,0.4,0.3,0.0,0.4,0.37,0.29,0.3,0.43,0.38,0.28,0.28,0.55,0.31,0.27,0.29,0.28,0.28,0.28,0.26,0.25,0.29,0.31,0.31,0.24,0.23,0.32,0.33,0.27,0.33,0.29,0.27,0.24,0.24,0.25,0.27,0.23,0.2,0.26,0.26,0.25,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.26,0.21,0.22,0.22,0.23,0.21,0.18,0.24,0.22,0.24,0.26,0.18,0.19,0.19,0.0,0.0,0.19,0.18,0.18,0.17,0.27,0.23,0.22,0.18,0.18,0.18,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.17,0.18,0.0,0.0,0.22,0.21,0.0,0.2,0.2,0.18,0.0,0.17,0.41,0.37,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73
09/28/2021,0.0,0.0,1.36,0.0,1.36,1.34,1.16,1.24,1.19,0.86,0.92,0.86,0.76,0.71,0.54,0.7,0.73,0.78,1.1,0.74,0.83,1.22,0.84,0.64,0.67,0.99,0.7,0.68,0.67,0.7,0.83,0.76,0.56,0.63,0.67,0.72,0.54,0.77,0.81,0.46,0.7,0.57,0.63,0.46,0.61,0.47,0.57,0.57,0.49,0.53,0.69,0.56,0.51,0.49,0.73,0.5,0.48,0.54,0.48,0.42,0.41,0.47,0.54,0.51,0.44,0.62,0.8,0.42,0.43,0.45,0.47,0.43,0.52,0.4,0.39,0.4,0.58,0.36,0.39,0.32,0.48,0.38,0.0,0.39,0.52,0.46,0.44,0.38,0.4,0.39,0.53,0.32,0.53,0.34,0.37,0.38,0.35,0.43,0.37,0.49,0.39,0.55,0.35,0.37,0.31,0.36,0.3,0.21,0.39,0.41,0.27,0.27,0.33,0.3,0.2,0.4,0.3,0.0,0.4,0.37,0.29,0.3,0.43,0.38,0.28,0.28,0.55,0.31,0.27,0.29,0.28,0.28,0.28,0.26,0.25,0.29,0.31,0.31,0.24,0.23,0.32,0.33,0.27,0.33,0.29,0.27,0.24,0.24,0.25,0.27,0.23,0.2,0.26,0.26,0.25,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.26,0.21,0.22,0.22,0.23,0.21,0.18,0.24,0.22,0.24,0.26,0.18,0.19,0.19,0.0,0.0,0.19,0.18,0.18,0.17,0.27,0.23,0.22,0.18,0.18,0.18,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.17,0.18,0.0,0.0,0.22,0.21,0.0,0.2,0.2,0.18,0.0,0.17,0.41,0.37,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73
09/29/2021,0.0,0.0,1.36,0.0,1.36,1.34,1.16,1.24,1.19,0.86,0.92,0.86,0.76,0.71,0.54,0.7,0.73,0.78,1.1,0.74,0.83,1.22,0.84,0.64,0.67,0.99,0.7,0.68,0.67,0.7,0.83,0.76,0.56,0.63,0.67,0.72,0.54,0.77,0.81,0.46,0.7,0.57,0.63,0.46,0.61,0.47,0.57,0.57,0.49,0.53,0.69,0.56,0.51,0.49,0.73,0.5,0.48,0.54,0.48,0.42,0.41,0.47,0.54,0.51,0.44,0.62,0.8,0.42,0.43,0.45,0.47,0.43,0.52,0.4,0.39,0.4,0.58,0.36,0.39,0.32,0.48,0.38,0.0,0.39,0.52,0.46,0.44,0.38,0.4,0.39,0.53,0.32,0.53,0.34,0.37,0.38,0.35,0.43,0.37,0.49,0.39,0.55,0.35,0.37,0.31,0.36,0.3,0.21,0.39,0.41,0.27,0.27,0.33,0.3,0.2,0.4,0.3,0.0,0.4,0.37,0.29,0.3,0.43,0.38,0.28,0.28,0.55,0.31,0.27,0.29,0.28,0.28,0.28,0.26,0.25,0.29,0.31,0.31,0.24,0.23,0.32,0.33,0.27,0.33,0.29,0.27,0.24,0.24,0.25,0.27,0.23,0.2,0.26,0.26,0.25,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.26,0.21,0.22,0.22,0.23,0.21,0.18,0.24,0.22,0.24,0.26,0.18,0.19,0.19,0.0,0.0,0.19,0.18,0.18,0.17,0.27,0.23,0.22,0.18,0.18,0.18,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.17,0.18,0.0,0.0,0.22,0.21,0.0,0.2,0.2,0.18,0.0,0.17,0.41,0.37,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73
09/30/2021,0.0,0.0,1.36,0.0,1.36,1.34,1.16,1.24,1.19,0.86,0.92,0.86,0.76,0.71,0.54,0.7,0.73,0.78,1.1,0.74,0.83,1.22,0.84,0.64,0.67,0.99,0.7,0.68,0.67,0.7,0.83,0.76,0.56,0.63,0.67,0.72,0.54,0.77,0.81,0.46,0.7,0.57,0.63,0.46,0.61,0.47,0.57,0.57,0.49,0.53,0.69,0.56,0.51,0.49,0.73,0.5,0.48,0.54,0.48,0.42,0.41,0.47,0.54,0.51,0.44,0.62,0.8,0.42,0.43,0.45,0.47,0.43,0.52,0.4,0.39,0.4,0.58,0.36,0.39,0.32,0.48,0.38,0.0,0.39,0.52,0.46,0.44,0.38,0.4,0.39,0.53,0.32,0.53,0.34,0.37,0.38,0.35,0.43,0.37,0.49,0.39,0.55,0.35,0.37,0.31,0.36,0.3,0.21,0.39,0.41,0.27,0.27,0.33,0.3,0.2,0.4,0.3,0.0,0.4,0.37,0.29,0.3,0.43,0.38,0.28,0.28,0.55,0.31,0.27,0.29,0.28,0.28,0.28,0.26,0.25,0.29,0.31,0.31,0.24,0.23,0.32,0.33,0.27,0.33,0.29,0.27,0.24,0.24,0.25,0.27,0.23,0.2,0.26,0.26,0.25,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.26,0.21,0.22,0.22,0.23,0.21,0.18,0.24,0.22,0.24,0.26,0.18,0.19,0.19,0.0,0.0,0.19,0.18,0.18,0.17,0.27,0.23,0.22,0.18,0.18,0.18,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.17,0.18,0.0,0.0,0.22,0.21,0.0,0.2,0.2,0.18,0.0,0.17,0.41,0.37,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73
10/01/2021,0.0,0.0,1.36,0.0,1.36,1.34,1.16,1.24,1.19,0.86,0.92,0.86,0.76,0.71,0.54,0.7,0.73,0.78,1.1,0.74,0.83,1.22,0.84,0.64,0.67,0.99,0.7,0.68,0.67,0.7,0.83,0.76,0.56,0.63,0.67,0.72,0.54,0.77,0.81,0.46,0.7,0.57,0.63,0.46,0.61,0.47,0.57,0.57,0.49,0.53,0.69,0.56,0.51,0.49,0.73,0.5,0.48,0.54,0.48,0.42,0.41,0.47,0.54,0.51,0.44,0.62,0.8,0.42,0.43,0.45,0.47,0.43,0.52,0.4,0.39,0.4,0.58,0.36,0.39,0.32,0.48,0.38,0.0,0.39,0.52,0.46,0.44,0.38,0.4,0.39,0.53,0.32,0.53,0.34,0.37,0.38,0.35,0.43,0.37,0.49,0.39,0.55,0.35,0.37,0.31,0.36,0.3,0.21,0.39,0.41,0.27,0.27,0.33,0.3,0.2,0.4,0.3,0.0,0.4,0.37,0.29,0.3,0.43,0.38,0.28,0.28,0.55,0.31,0.27,0.29,0.28,0.28,0.28,0.26,0.25,0.29,0.31,0.31,0.24,0.23,0.32,0.33,0.27,0.33,0.29,0.27,0.24,0.24,0.25,0.27,0.23,0.2,0.26,0.26,0.25,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.26,0.21,0.22,0.22,0.23,0.21,0.18,0.24,0.22,0.24,0.26,0.18,0.19,0.19,0.0,0.0,0.19,0.18,0.18,0.17,0.27,0.23,0.22,0.18,0.18,0.18,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.17,0.18,0.0,0.0,0.22,0.21,0.0,0.2,0.2,0.18,0.0,0.17,0.41,0.37,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73
10/04/2021,0.0,0.0,1.36,0.0,1.36,1.34,1.16,1.24,1.19,0.86,0.92,0.86,0.76,0.71,0.54,0.7,0.73,0.78,1.1,0.74,0.83,1.22,0.84,0.64,0.67,0.99,0.7,0.68,0.67,0.7,0.83,0.76,0.56,0.63,0.67,0.72,0.54,0.77,0.81,0.46,0.7,0.57,0.63,0.46,0.61,0.47,0.57,0.57,0.49,0.53,0.69,0.56,0.51,0.49,0.73,0.5,0.48,0.54,0.48,0.42,0.41,0.47,0.54,0.51,0.44,0.62,0.8,0.42,0.43,0.45,0.47,0.43,0.52,0.4,0.39,0.4,0.58,0.36,0.39,0.32,0.48,0.38,0.0,0.39,0.52,0.46,0.44,0.38,0.4,0.39,0.53,0.32,0.53,0.34,0.37,0.38,0.35,0.43,0.37,0.49,0.39,0.55,0.35,0.37,0.31,0.36,0.3,0.21,0.39,0.41,0.27,0.27,0.33,0.3,0.2,0.4,0.3,0.0,0.4,0.37,0.29,0.3,0.43,0.38,0.28,0.28,0.55,0.31,0.27,0.29,0.28,0.28,0.28,0.26,0.25,0.29,0.31,0.31,0.24,0.23,0.32,0.33,0.27,0.33,0.29,0.27,0.24,0.24,0.25,0.27,0.23,0.2,0.26,0.26,0.25,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.26,0.21,0.22,0.22,0.23,0.21,0.18,0.24,0.22,0.24,0.26,0.18,0.19,0.19,0.0,0.0,0.19,0.18,0.18,0.17,0.27,0.23,0.22,0.18,0.18,0.18,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.17,0.18,0.0,0.0,0.22,0.21,0.0,0.2,0.2,0.18,0.0,0.17,0.41,0.37,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73
10/05/2021,0.0,0.0,1.36,0.0,1.36,1.34,1.16,1.24,1.19,0.86,0.92,0.86,0.76,0.71,0.54,0.7,0.73,0.78,1.1,0.74,0.83,1.22,0.84,0.64,0.67,0.99,0.7,0.68,0.67,0.7,0.83,0.76,0.56,0.63,0.67,0.72,0.54,0.77,0.81,0.46,0.7,0.57,0.63,0.46,0.61,0.47,0.57,0.57,0.49,0.53,0.69,0.56,0.51,0.49,0.73,0.5,0.48,0.54,0.48,0.42,0.41,0.47,0.54,0.51,0.44,0.62,0.8,0.42,0.43,0.45,0.47,0.43,0.52,0.4,0.39,0.4,0.58,0.36,0.39,0.32,0.48,0.38,0.0,0.39,0.52,0.46,0.44,0.38,0.4,0.39,0.53,0.32,0.53,0.34,0.37,0.38,0.35,0.43,0.37,0.49,0.39,0.55,0.35,0.37,0.31,0.36,0.3,0.21,0.39,0.41,0.27,0.27,0.33,0.3,0.2,0.4,0.3,0.0,0.4,0.37,0.29,0.3,0.43,0.38,0.28,0.28,0.55,0.31,0.27,0.29,0.28,0.28,0.28,0.26,0.25,0.29,0.31,0.31,0.24,0.23,0.32,0.33,0.27,0.33,0.29,0.27,0.24,0.24,0.25,0.27,0.23,0.2,0.26,0.26,0.25,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.26,0.26,0.26,0.21,0.22,0.22,0.23,0.21,0.18,0.24,0.22,0.24,0.26,0.18,0.19,0.19,0.0,0.0,0.19,0.18,0.18,0.17,0.27,0.23,0.22,0.18,0.18,0.18,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.17,0.18,0.0,0.0,0.22,0.21,0.0,0.2,0.2,0.18,0.0,0.17,0.41,0.37,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73
