,IDXX,IQV,CNC,DLR,MCHP,APTV,APH,CARR,VEEV,SNPS,MRVL,CMG,INFO,MSCI,DFS,DOCU,DXCM,CDNS,MTCH,IFF,MSI,CTVA,TDG,WLTW,CSGP,FRC,PANW,GLW,DHI,PXD,VLO,SBAC,WCN.TO,CTAS,WELL,FCX,AME,XLNX,NUE,KKR,FAST,MTD,DAL,AMP,FTNT,SIVB,FITB,RMD,WEC,NEM,ANSS,AVB,EQR,EFX,AJG,WY,VRSK,AWK,SWKS,CBRE,ODFL,ES,LEN,PTON,CPRT,MXIM,BBY,KSU,OKTA,BLL,LH,ZBRA,DTE,KEYS,LBRDK,SYF,WST,O,EPAM,TTD,IP,EXPE,KLAC,CCL,ARE,VMC,OXY,URI,NTRS,CERN,CDW,OKE,TSN,HIG,FTV,HES,VIAC,FLT,DLTR,AIG,MLM,RF,W,PPL,KEY,CLX,HUBS,MKC,TER,TWTR,WDC,GRMN,STT,DOV,BURL,TTWO,XYL,EXPD,CFG,EIX,VRSN,TSCO,SGEN,SPG,ETR,CHD,WORK,ALGN,VTR,AEE,QRVO,MTB,HPE,FE,GWW,INVH,ALLY,TRU,STX,TDOC,RCL,MPC,RNG,WAT,CRWD,ETSY,EXR,SPLK,IT,ALB,TRMB,ANET,LNG,COO,NDAQ,LULU,ESS,DDOG,HAL,GPC,CE,TFX,KMX,EXAS,SUI,DRI,IR,CINF,AKAM,ADM,ED,VTRS,ULTA,J,BR,ALXN,PSX,MAA,AVY,Z,UAL,LUV,CMS,PEAK,PFG,PODD,OMC,CAG,DGX,NET,HLT,PINS,DRE,NTAP,COUP,NVR,EMN,OTIS,ELAN,MGM,AMC,GNRC,ROKU,PLTR,HBAN,HZNP,CZR,ALNY,STE,TDY,PLUG,PAYC,TYL,DPZ,AES,ZS,HOLX,ROK,U,ABC,MDB,CTLT,MPWR,BKR,PCG,AZO,ENPH,RJF,SUM
10/08/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/11/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/12/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/13/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/14/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/15/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/18/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/19/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/20/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/21/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/22/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/25/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/26/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
10/27/2021,0.81,0.7,0.52,0.65,0.61,0.58,0.65,0.71,0.65,0.71,0.69,0.76,0.61,0.7,0.55,0.76,0.72,0.64,0.5,0.53,0.58,0.46,0.45,0.4,0.47,0.49,0.59,0.43,0.44,0.46,0.38,0.55,0.48,0.5,0.52,0.0,0.44,0.54,0.5,0.25,0.45,0.51,0.36,0.45,0.62,0.44,0.39,0.6,0.42,0.0,0.45,0.45,0.42,0.47,0.42,0.38,0.46,0.47,0.43,0.43,0.43,0.44,0.42,0.36,0.43,0.0,0.37,0.36,0.53,0.44,0.42,0.44,0.33,0.47,0.41,0.41,0.47,0.38,0.48,0.49,0.33,0.29,0.37,0.28,0.43,0.35,0.32,0.36,0.33,0.32,0.4,0.33,0.33,0.34,0.34,0.27,0.34,0.31,0.3,0.33,0.34,0.28,0.29,0.3,0.28,0.29,0.43,0.3,0.28,0.34,0.26,0.38,0.32,0.35,0.28,0.26,0.35,0.3,0.26,0.31,0.29,0.32,0.32,0.31,0.31,0.29,0.0,0.37,0.3,0.32,0.3,0.25,0.28,0.3,0.27,0.33,0.28,0.33,0.25,0.28,0.25,0.27,0.28,0.36,0.0,0.39,0.35,0.35,0.36,0.39,0.33,0.3,0.28,0.31,0.32,0.34,0.3,0.43,0.0,0.25,0.25,0.26,0.29,0.25,0.32,0.28,0.28,0.27,0.26,0.0,0.26,0.25,0.3,0.25,0.28,0.0,0.0,0.31,0.26,0.0,0.0,0.0,0.26,0.27,0.26,0.28,0.0,0.0,0.28,0.39,0.0,0.0,0.28,0.28,0.25,0.25,0.0,0.28,0.0,0.25,0.33,0.39,0.29,0.3,0.32,0.34,0.28,0.33,0.29,0.3,0.0,0.35,0.28,0.28,0.0,0.29,0.29,0.27,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24000000000001
